"tau" "theta" "m"
3.3623444055936 3.69001524940258 0.88795390841831
1.87907624488647 4.39203779182185 0.723760229573708
1.29030934788625 7.48000211238096 0.90112268278498
2.29341139484456 7.36130189533895 0.743075098610372
1.27450479437291 4.20110158222679 1.27292452618219
4.90613119308524 3.88050093863625 1.14560930838005
4.38025945276151 6.65497780579921 1.34192791307176
2.84898830562089 6.94285497346474 1.35339515100841
1.07284401943941 4.52092953920713 0.536234875818479
4.4359885410718 3.9141478649973 0.78168826139245
1.86784655882852 6.69564340961885 0.663428012332898
2.68446233764997 7.22930073633226 0.737824028378898
1.19528985496906 4.21893663921254 1.17874522961069
3.83742890376648 4.11722887529479 1.2818577853381
1.8614970518525 6.43660000115927 1.29934377797093
2.71895990487858 7.61804971401578 1.40481366060514
1.87943595372715 3.68733591598045 0.738703733283198
2.71110371352447 3.77102141529482 0.744961950006561
2.18699588061466 6.55037458460574 0.668137041645812
3.8972141145239 6.43506711263455 0.592721014802424
0.727821128472893 4.45633142570957 1.19055573565573
1.85559709707062 4.3523858549825 1.59060639274353
1.91270198702537 6.90441479887383 1.26551409250793
3.244663788294 7.10695473323014 1.16751052016558
1.82097731079145 3.75375393605853 0.652673953372297
4.80250507467072 4.08239831233447 0.848794235462991
1.43088039796168 7.32972718649328 0.655284951240813
2.3180600691495 6.67777645742554 0.629971408989891
2.59102152223554 3.6152092334224 1.49653865732216
3.0853474081181 4.34481004019641 1.41100772764972
1.32947986332542 7.49285105943624 1.47476866852225
4.16738568258845 8.0977300062295 1.7106623275847
