"init.self" "init.elapsed" "init.child" "ref.self" "ref.elapsed" "ref.child"
291.862 3.22 295.439 886.275 7.58 895.014
288.586 2.856 291.549 1093.836 8.696 1103.376
288.774 3.388 293.338 1224.688 10.216 1235.624
288.33 3.036 291.489 1193.45 9.74 1204.476
290.734 3.276 294.346 1418.796 11.632 1431.551
288.926 3.052 292.075 974.164 12.152 986.896
289.242 3.06 292.713 1236.885 15.197 1252.95
289.19 3.088 292.518 1457.239 16.805 1475.747
290.486 3.124 294.187 1640.526 17.677 1662.509
298.459 3.272 301.813 1598.792 18.266 1619.203
296.27 3.144 299.496 954.816 14.853 970.655
296.499 3.285 299.886 1284.184 18.609 1304.301
295.519 3.16 299.127 1398.219 20.77 1421.034
298.867 3.349 302.678 1297.293 18.369 1316.21
297.875 3.373 301.384 1441.354 20.725 1463.898
295.486 3.248 298.82 1037.049 18.773 1056.761
296.754 3.384 300.96 1382.879 24.041 1408.565
294.051 3.192 297.378 1708.278 27.458 1737.297
301.403 3.288 305.165 1690.165 26.941 1718.652
301.615 3.157 304.918 1838.115 30.513 1869.804
299.443 3.364 302.934 991.41 22.153 1014.249
297.971 3.17599999999999 301.738 1565.173 31.382 1597.534
299.247 3.524 303.028 1741.321 32.75 1775.023
302.303 3.104 305.853 1873.145 35.286 1909.646
298.211 3.45999999999999 301.807 1986.364 36.803 2024.142
