"tau" "theta" "m"
1.30131649755071 2.98209012086695 0.515965425561763
2.00226502317234 3.33885927537686 0.552572714542753
3.33274612281441 3.38814707952308 0.590953185527356
1.30238332797646 5.50013914277517 0.636269775453035
2.8846561352533 5.22989933565231 0.495780124256546
2.89344852354215 5.78264605310759 0.538888367672391
1.22496241909624 7.91414493957911 0.610519940297472
2.56100482588161 7.5230517383246 0.681964153626423
3.1688044729853 7.93029545292424 0.532451466644091
1.18347260464988 3.20826298969567 1.05440537734233
2.43544823272345 3.35600642648407 1.00805424435502
4.20078064497675 3.1903044124237 0.925441896568538
1.29438856745617 5.41326884108621 1.00866008554752
2.8204836451271 5.37550919928545 0.985717244870256
4.55350698487149 5.3220603098867 1.24631745898278
1.11065678217948 8.16849150575281 1.05436829216834
2.26913153975658 7.93509234337286 1.07918462044146
3.35259499997874 7.88590602656152 1.02786674260791
1.59069909802868 3.15811079939366 1.56439752132088
3.00840271627594 3.08414252136069 1.42945755511114
2.52172719265453 3.18168234782419 1.34893804142584
1.61505070584338 5.40023463972272 1.39485907717948
2.57101277416727 5.39685182773597 1.67345185391402
3.25071487133703 5.86465720972506 1.3123743423788
1.37286049145105 7.51484029943123 1.34403106985914
2.51184796711744 7.74846529391158 1.64784615560507
4.84508120713748 7.44392532287205 1.57337073654281
1.49412754977445 3.12422544292215 0.617328302140092
2.2033423467591 3.34902927077902 0.467316378887515
2.61289550865529 3.33699942586481 0.665826587538091
1.25791460766358 5.37550480185569 0.568620492996532
2.56977896165255 5.51605851175754 0.535008970556607
2.49571001835537 5.41479241507586 0.51982602571831
1.1513433585609 7.71607407337411 0.583268365566015
2.71168022760017 7.56122285070281 0.525698899050946
3.95080105825837 7.71377992857426 0.562835196237931
1.15184549223699 3.18568189642636 0.950400165767498
2.04571246523398 3.18912513886724 0.887938769806871
2.05361463895733 3.39961828408268 0.913640582694855
1.12912661935592 5.69656395510339 1.02724508534911
2.65687494219391 5.36621057485343 0.933950485495705
2.83876148095231 5.72107451836186 1.02247597104499
1.11014214293848 7.77036350020104 0.936851515998922
2.05763468267216 8.03263863504421 0.993411563252828
3.34062835748388 7.85075046755111 1.036867736184
1.89188456736143 3.19978326826272 1.47637091262386
4.87231001855192 2.98374920634085 1.50261562725487
3.14020102054737 3.23111609850021 1.55745614985553
1.13327564818212 5.5010871364805 1.44736690872478
3.36099372193431 5.2822215373064 1.43415157711673
3.13701017135963 5.48941720101959 1.52791235580907
1.21083328296542 8.11644825670886 1.52806844236009
3.05598001332254 7.95655368278213 1.55659124244001
3.88554015692701 7.66151298713927 1.52746139762752
1.15326551215252 3.23835232738691 0.567461531415958
2.66005945661333 3.14500845848554 0.482243192584606
3.98675417072154 3.29632177983158 0.639603190957102
1.12429750557316 5.71603844908448 0.675544598232883
2.97305862865617 5.40935731659542 0.618097434167207
3.19229929132665 5.77579261164515 0.60316879190208
1.47988531817116 7.65017497178619 0.590595450610181
2.84228658073761 7.76760671168215 0.594633885676143
3.16639864851145 7.99953841966172 0.60933183508361
1.44895844077563 3.02001457141072 0.868398733538952
1.87110190701714 3.42624542020886 1.24356381065282
4.90609646636327 3.10377262064467 0.933019545646252
1.24570899323252 5.51952366635766 1.10749135773939
2.28434530144288 5.57545732941741 0.92883211869983
2.93935094193413 5.16962176024147 0.927270756883671
1.31429965484948 7.85782757563959 1.03142679663917
2.62320578595376 7.69240792890171 1.06780381122319
3.18966327277548 7.69088410668105 1.13022892761437
1.47954470191182 3.07035731872491 1.49183847973154
2.79459695573217 3.16639287240044 1.50704415360215
2.9811566997034 3.55646675788334 1.68214482453656
1.30664633656206 5.67320331095862 1.7176488161523
2.42333135807103 5.27751678523894 1.75741173130219
2.99229745845551 5.48647297348218 1.53767421082759
1.15964495158141 7.94949545105652 1.40547744668952
2.87790223011406 7.82429380951165 1.76115610316655
3.09886223405006 7.92840747105547 1.29164285570337
1.42607584368357 3.14122808082185 0.50332464469612
3.71225187874457 3.21796579871009 0.614713750102028
4.37717484435798 3.21599735882074 0.539465102988201
1.30802116986681 5.68580114242766 0.585250851527648
2.08809328681351 5.72093201220583 0.629467112205383
3.63648322692537 5.60443118262122 0.616707710287425
1.03600113802657 7.95565462730465 0.644918855419831
2.58599814728924 7.80105523480949 0.542465179502171
4.04862694816894 7.9370082497401 0.519577329512216
1.37862978905533 3.22249765312608 0.933494957409774
2.57881728772679 3.21115047778505 1.19722313486777
3.94898125396003 3.11933827548604 0.9296364481291
1.32717115185326 5.44877512820184 0.933285507724069
2.57071153489563 5.71302008236287 1.21664957034009
4.23169915741438 5.30769476045338 0.887741221594713
1.32062528908905 7.38025997346847 1.0565031433941
2.12604567286364 7.68145136289525 0.937884170623782
4.13305839084348 7.92593703610957 1.09927922186825
1.05577906656627 3.36243445009001 1.52755093216038
2.31205217807795 3.2908083908738 1.46836804348801
3.90733712601791 3.37217583749943 1.34307274284801
1.1444458470658 5.48762822561576 1.28402364118915
1.49371628716536 5.789099861243 1.58876964633678
3.03063026512788 5.46650765158205 1.15065068249809
1.22141806987452 7.89699388365655 1.45409592713813
2.39709212753251 7.87937508064575 1.71039049713272
3.71889129424955 7.92723898071805 1.80884775227736
