"theta" "tau" "m" "q" "s1" "s2"
7.10981147111085 6.45450793541819 1.58104205985327 3.37001029656847 3.83558393506471 2.91135796478344
12.1956948978699 2.9742192789254 1.69131042360196 3.54641941713885 1.60827565981218 6.60865839570809
7.07143554499959 19.1402560286027 1.53875637008884 3.62813833225509 4.74928628926473 4.61291534116656
13.3484715084189 3.07319952179632 1.71024289852331 3.14729543495008 0.843445056173392 5.27310275406022
7.046839026629 3.25683318633854 3.81647572171523 3.31007775419817 3.10013206162458 2.71467989452149
13.1365787282023 2.49847786795344 3.40348307753567 3.1842705610428 1.99553570971457 4.4867683684849
7.20688176349867 3.77636551051572 3.36138910305326 3.37024594886412 1.39673162711072 3.67654043762658
13.4742946160778 0.41228609565836 4.31045356149807 2.54566227271727 0.379567950752591 4.64470312427358
7.39212859048799 3.89764920834804 1.60463021153758 6.25091057768994 1.36876927529615 6.7976013281595
13.7447957081564 1.21649057594527 2.03028560651695 5.14288108596536 0.996722357530842 6.54895825291606
7.11841882718369 4.26744003668027 1.75221236006578 6.86565398095085 0.91867023958533 7.08173267871905
13.9613839443286 0.925486300075528 1.82087063160791 4.63507664161766 0.743119557947346 5.21022038373886
7.66462688789572 2.1138376700729 3.63564859860884 5.57803566779328 0.925627411683459 6.10372820286469
14.6241604240659 0.412204088233207 3.94596231842753 4.15260866888471 0.306122211600563 6.08812963622844
6.82277502424275 1.26935355238265 3.00767483854099 6.05838360603189 0.947478807992969 5.30099577777404
12.6233369744904 0.981404704964359 3.81395171654611 6.28394344102623 1.3815193007692 4.39413331397604
8.07781834744985 4.04530573765687 1.75072599965444 2.76505151839093 1.55945543060422 8.37641970414166
15.050619100882 4.78399695200621 1.88171054847839 2.84699268990748 2.0087945954942 9.03050877965297
6.44990660593676 1.44445536550412 1.55146804714987 3.08972559198633 1.27944632687455 5.34606540836011
13.4501257440315 12.1484619579697 1.68847926197305 3.56669510491959 4.13096830908881 5.47317592887585
7.84371647653034 4.33495693888353 3.17878183736557 3.02450338994737 1.49102251623294 10
13.8216494494619 4.4931820856589 3.10353879551542 3.07059381024226 3.89155530784667 4.93281109071272
7.53033009138691 2.71681891711006 3.44933313293821 2.90475379674176 1.0617419546429 5.48802711094248
15.1002788147216 6.85446750882442 3.06986576686206 2.59531686623729 1.7577372896178 6.97549796235275
8.06224714823847 0.305176495905421 2.46141125866073 3.0870868961082 0.211989352977988 8.33101348593227
12.8365759746067 1.38894784172837 1.72160777435555 5.0035987665952 0.906157955572679 10
7.94568838581408 2.10316850852771 1.66408379430846 4.68057827493647 0.843806381343056 7.26898576894313
13.4309969755058 4.89812630597045 1.59728332642687 6.37722707866499 1.5593051266786 8.54021516767361
7.66688574149522 2.20498477184335 3.60653184411877 5.72849848291233 1.43990158794642 8.08164748998873
13.6163552859727 0.936774085578088 3.49989182570953 5.02501025743091 0.562112574735534 9.00649401224265
6.61432458007343 1.46165426739745 3.2249291174103 6.44735647600219 0.964405695765689 6.56951237738043
13.7852687851799 1.38691928652964 3.86737328271608 5.46529265941007 0.686575921179252 7.18068219956828
6.95563541539243 3.19248493875194 1.56464889172382 3.17328856163725 1.20965705923958 9.34521280566457
15.3618469728744 1.66838844209186 2.19432351413718 2.48984693221006 0.712075573142949 6.29674244921563
8.00031555561612 8.0529211618644 1.81220153388762 2.81724707287251 1.39001062968543 7.16754374689776
13.5596907394619 0.737438955614834 1.8598462088734 2.68094651043175 0.688870156107616 4.65104111190446
7.19601494107645 4.64931769710508 2.91304810425303 2.95844749063262 2.03573077358341 7.12757403505269
13.9631016683422 5.0389796126998 3.22248854095156 3.20919476765399 2.99335728828495 5.41712427431137
7.13689972511361 7.14546661562146 3.30920759672938 3.1472819413611 2.69668381404783 3.88257448170128
14.2345265808006 0.46199352410863 4.12553360466577 2.46714292318956 0.438722315481324 4.13524156310658
7.27113048382041 1.0626385699756 1.64760263184374 4.75179551885479 0.519362429730844 8.42683128340251
13.4008032763056 0.923395686143164 1.65975108669254 4.52843046364731 0.685914327609762 7.7800792448388
6.57693221318198 2.33169537787389 1.70231299155566 6.54273056298626 1.26222636932596 6.28634719630235
13.494737329294 3.00404571205213 1.69415237472809 5.6709052102237 1.20503855875586 6.57421710546925
7.47267791463083 5.68557448480513 3.04670841618268 6.05945990226707 3.40328021249493 4.85837459554656
13.9515533319392 0.548856708856266 3.6061836940341 4.5111270576456 0.333072972172202 7.68808089070231
7.36676354200045 4.98428781811549 3.14556299270984 5.57600448434063 1.57138992062161 5.33028636453862
12.9923170238594 3.15324494410542 3.54681103402925 7.22600010025918 1.14918735505385 6.48200776598142
6.6997987120971 7.98737981437774 1.55835847564569 3.88667025637891 9.34524659446344 5.95059611926415
13.6591936110472 1.55508726256777 1.7568370718092 2.50054756069883 1.12536069675974 10
6.93996932780793 3.11580806982959 1.67899835951283 3.37703719159961 1.40565892501544 7.04973185329548
