"tau" "m" "q" "s1" "s2" "theta"
0.322911373414826 1.76591412455584 1.92918721420889 0.537310438196045 4.87931687074599 7.71402118005558
0.158277008560579 1.9185149319787 1.96784198361579 0.300487271242801 3.09241887331704 9.71296989399919
1.04915796667688 3.94257925566617 2.79995384492701 1.3509531648347 4.62397027489374 6.81603900846792
0.327179432031248 4.0250547682917 1.97707928507428 0.256667277790188 3.67068901041936 9.00726656339658
1.34952456241202 1.76318854258317 5.4799805576497 1.86642225785723 5.72675818280411 6.61794182359273
7.82083319797891 1.5240222659103 6.1616794799131 1.20746539464807 8.75939780470625 7.47443663930668
2.1244927308372 4.24829825969336 6.09954422504404 0.606999519242786 7.22200240417648 8.07912990741865
1.78125791793526 3.60522540962526 5.01371784410286 0.549079074505769 4.79733914657395 8.47947059245521
0.792649407270425 2.13798147771477 2.2543547212137 0.519462129901475 8.13864568182399 7.39007142817802
2.7091061157649 1.70238383106336 3.0574801552685 0.831433280628015 7.31847952264445 7.08997485736308
5.87815608738283 2.96776763697301 3.24280524942355 4.9767065645297 4.28518215476213 7.15405456355084
5.71640992572604 3.0400550243522 3.30758211230182 3.60992028686861 2.76358617958987 6.89160423994221
0.963843325755725 1.88419897196409 4.93185797344712 0.903565817613239 10 6.412974165058
6.80996711707305 1.49676571553149 6.24894628251306 2.12478082453938 10 7.12027277997827
2.32805453752576 3.4181097959717 6.48332214171832 1.9868437467377 8.86785392309742 6.94376359289256
0.58821277709342 3.97596294183427 5.85755295218156 0.61436191690753 7.06953225737818 6.71884245292691
8.11891252180528 1.75340530301787 2.84498543112413 3.68760286086006 8.41842788648189 8.12495199216149
0.942498126353839 1.91374146395427 2.91504082571516 0.489540615099759 4.67862144287585 7.49744324559932
1.19809413702897 3.26841989074201 3.01059808285118 0.668822791906773 7.79924429099858 6.58264647540891
1.1328226050895 3.50984591068688 2.67807946591093 0.809451016269477 4.17602688077491 7.26091844147453
4.22680810210779 1.59987682667695 5.82127668225581 1.16308301483942 9.69196058027764 7.8428284610298
10.3763182154462 1.61879305969549 6.40656260487348 1.79941695806243 9.66736171547394 7.46996597597804
0.693635223992833 3.7053999984762 5.38544852566781 0.879071206549857 7.43646789412862 6.70362031553571
5.12417948152452 3.222410576141 5.54529869302984 1.04466948923841 7.67270499010926 7.862177692783
4.04445818741312 1.64881858509862 3.04305527928358 3.46681564129085 8.75939780470625 7.21765904227041
3.49577704967728 1.9159714643332 3.025781149123 1.12064962391695 7.50722651710457 7.67290333416891
0.331469283392661 4.78649036351345 1.83013559400428 0.152288581080051 9.19960051389124 7.04757413540707
4.14963360117572 2.99782848266152 3.40502186816268 1.74163216700364 7.78146017958705 6.73638617889682
0.831595902476867 1.96237850320402 3.92296979470897 0.759089937125731 10 7.47341223746021
2.52705972660963 1.97365719576246 6.59770430156741 1.64320524425439 8.58381842117407 6.43209144082181
5.56426509055836 2.86104323888635 7.06498017460231 6.37170354351071 8.00424134869549 6.70064457668658
0.710948871358235 3.17761013250737 4.59644820324443 0.494828264010794 7.92029857516051 6.72714406736872
4.7271875294693 1.82712766122589 3.39801952871595 1.29226708192108 7.3102391896773 13.3134015673885
6.51999383547599 1.6976563119329 3.53133039126272 1.64521558116006 5.14185506779616 12.8962366055613
1.2778660824616 3.42581470800545 2.8784189707358 1.25878072000692 5.1286064300755 12.6661125102714
1.52449950913154 3.41130190887895 3.43892444377067 0.916381444458139 3.84728699959615 12.7699780529855
