"t_split_1" "theta" "M"
1.6774183100782 3.04553848643173 0.586806672684443
3.35506185039844 3.10651758339725 0.644612690932485
5 3.17068227723693 0.632807324888076
1.37517763418221 5.40820318636291 0.554477174220611
2.72864251641336 5.69914210639571 0.643926132923653
3.56725366768537 5.48341227081921 0.635021748600437
1.19847731002144 7.49515776515695 0.617675099970974
2.38332533930609 7.9554065219047 0.625387956511278
3.40236669420851 7.83808875742279 0.511059106078435
1.06687793363895 3.25991479583962 1.13889445512287
2.5010151744015 3.30631246259192 0.970416631714007
4.1878059388547 3.11337676502999 1.07791093098267
1.49681408159249 5.23582887566461 0.964211266929549
2.26848302487656 5.8639055527388 1.18778227754261
3.12860410099848 5.43656507382743 1.01283976535193
1.43807290091338 7.70519251731441 1.0894710269703
3.02379518324974 7.69166832611168 0.986908710723232
3.43070030644814 7.52522501199007 0.92222277494606
1.23434070789601 3.30549512306232 1.29888246284497
1.73635502187303 3.45094416938262 1.58005956331646
3.78297293993903 3.31849102319209 1.44299318640111
1.39513969861896 5.1337662936098 1.28133603918052
2.68223587459156 5.45901054956205 1.7261601040484
3.89209649555157 5.22781372098528 1.38237401151797
1.11550511101417 7.91139383364687 1.71494040925274
2.35322504336056 7.88758471931343 1.45922611592807
2.31948000836986 8.25854212324507 1.54555196008885
1.26233021056753 3.0989263143506 0.600025965920998
3.29625895718994 3.17400191228281 0.562315677521608
4.8137292901653 3.16605680543302 0.557600198328519
1.19045906418219 5.47222105209095 0.5664975296775
3.16169310861118 5.37908140896831 0.669854759105411
2.63799461824317 5.69519211444132 0.576218155049271
1.29957219207816 7.55835465583584 0.573712369406756
3.55529566780022 7.39084711075794 0.569134687396658
4.49719761181346 7.68822257829756 0.529466778671436
1.01803545059118 3.39384631901978 1.1656573500704
2.92226398672877 3.4871006880133 1.05357765466119
5 3.32392229852007 1.06161877935128
1.36725170550156 5.46827337352528 1.01666673116643
2.33587166319168 5.56476091895902 1.07088244351693
3.15427925639427 5.60447598850473 1.06407383697541
1.29980413682564 7.62553080038845 0.926013992244112
2.28611887678627 7.80447567953223 1.06334577760284
3.95649074761785 7.86863862300467 1.02923141335702
1.25398717655815 3.27451664794829 1.41513721102027
2.3921536094914 3.08810905944412 1.68764492761439
2.23263269745476 3.38062536549797 1.85893011915766
1.80179079114902 5.0461189659014 1.43689837399996
2.75729389284346 5.23071565510513 1.57753541299122
3.07920876402472 5.48092015664207 1.61925090601462
1.50923865679709 7.50256048381991 1.33369046961777
2.16895056127547 7.93339681340235 1.73931997282922
4.28051234828925 7.96769849761487 1.63289582299942
