"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
352.876 12.676 490.062 2042.216 96.412 2658.985
329.884 14.668 467.172 1629.092 76.056 2152.645
350.152 12.656 477.147 3573.808 146.508 4397.211
331.936 14.452 465.926 5174.888 200.372 6087.604
389.432 15.172 532.708 2839.476 115.36 3620.832
333.904 14.684 472.457 1619.744 78.3 2149.723
369.548 11.956 503.58 9340.22 366.524 10735.932
331.28 14.164 464.663 2519.032 101.472 3294.489
378.764 12.88 516.67 3639.624 149.46 4537.451
320.112 13.604 452.77 1377.948 61.504 1828.98
377.952 13.06 512.41 1535.372 58.452 2068.683
388.736 10.74 523.856 4387.064 170.208 5326.604
350.404 10.552 484.694 1396.548 66.524 1881.291
360.46 13.072 490.33 1985.82 76.344 2600.095
346.032 12.344 481.059 3020.372 135.988 3823.893
327.836 14.332 462.084 2166.428 98.168 2903.897
356.104 14.464 485.844999999999 1725.292 77.816 2405.852
336.216 14.652 469.735 1647.624 75.612 2267.568
336.416 13.532 459.717000000001 4956.804 223.86 5962.174
354.32 13.06 476.626 2026.56 84.688 2608.122
349.528 14.52 478.059 1723.828 77.472 2307.186
366.26 13.268 494.164 2097.536 95.704 2752.587
322.068 13.648 448.505 2863.732 126.928 3650.363
334 14.528 463.89 1919.404 84.704 2618.756
339.056 14.068 460.445000000001 3032.816 138.264 3906.547
364.164 9.864 488.113 1498.652 60.912 2072.443
329.624 10.564 449.044 2287.668 90.744 3055.249
358.056 12.636 482.643000000001 1238.272 57.268 1669.891
359.468 11.092 482.574000000001 3240.192 145.216 3959.091
352.088 11.26 472.467000000001 3809.732 173.556 4631.172
337.288 12.62 469.441000000001 2746.028 87.084 3439.9
353.48 15.448 486.680999999999 1429.9 70.08 1993.573
346.66 13.888 472.24 1858.152 86.416 2432.602
341.46 12.72 458.620999999999 2246.3 90.132 2863.601
348.34 14.844 477.671 2281.52 106.98 3037.206
342.032 14.232 467.758 3217.084 139.032 4004.104
381.096 14.932 515.783000000001 1230.876 58.532 1678.886
341.424 14.388 472.044 1982.78 85.588 2612.992
361.632 15.84 497.779 4317.036 200.976 5259.172
359.012 13.484 490.145999999999 2557.012 116.676 3333.25
351.032 14.84 474.261999999999 2141.164 99.292 2811.01
349.792 13.068 474.190000000001 2052.804 91.22 2723.363
348.796 14.708 474.897000000001 2033.912 82.744 2662.115
350.18 10.464 470.877999999999 2485.928 110.852 3159.965
338.52 10.308 458.737999999999 1714.828 75.832 2335.022
350.74 11.508 469.768 2129.44 81.536 2673.848
378.068 14.796 503.978000000001 2014.576 89.188 2560.828
328.712 13.964 447.611000000001 3543.336 144.444 4257.379
320.372 14.172 444.842000000001 1225.292 57.76 1703.797
343.512 12.884 473.062 1819.584 84.296 2373.292
371.856 12.648 493.869000000001 2610.056 127.048 3239.083
332.672 14.02 451.633 1587.136 71.584 2060.869
315.68 12.072 436.824000000001 1517.188 72.512 2016.481
309.216 12.42 417.393 1242.188 57.836 1671.811
