"t_split_1" "theta" "M"
1.76718870577302 2.98585764715828 0.614698834685173
3.50247896251637 3.11789198934643 0.631481147298743
5 3.25658892848669 0.609008368834874
1.30608771249345 5.48813934011973 0.547713651125056
2.43715380273651 5.74028443829348 0.629436359590451
3.84530937831874 5.39116418900299 0.617238207357924
1.26902159360575 7.46625983932834 0.618570932420555
3.0018174477021 7.71328559708802 0.685639802958164
3.69661469571176 7.65310035364236 0.51911791203169
0.980190857926331 3.24578390431406 1.1579671133182
3.10176457912192 3.23792219020876 0.896419740175166
4.82920951851894 3.13045470035538 1.09465107856895
1.45045138649314 5.32843554785748 1.0453970664668
2.46999159879873 5.74261260858171 1.15541040503762
5 5.14178835317689 0.960483996066985
1.07088334695863 8.2026925874029 1.24745110147579
3.00478028164197 7.67634008660832 1.04637100739617
4.71289387313873 7.23418737747828 0.829684482106823
1.10183883505759 3.41564438146485 1.41843602097017
1.75838101496359 3.35463455801505 1.51316694040849
3.85327341439071 3.35743071512265 1.51350063275624
1.32541859505416 5.43971387894057 1.44650717938753
2.53957028678691 5.46743118316928 1.6132457652275
4.2042803111535 5.41938203157475 1.42890253879555
1.22037992031531 7.90277943955915 1.55308394206462
2.5024783040812 7.69046939678832 1.39454649992073
2.45665945182113 8.01829521880436 1.49907564839904
1.02799079347066 3.32679868291542 0.605492468841023
3.31004272313503 3.15302904256211 0.56920468322734
4.53763023891364 3.19960302111921 0.584762707971998
1.31546076861377 5.35430660235713 0.560464830293942
2.74229651057086 5.53321822975728 0.687062702987944
2.8188889116246 5.55178628534723 0.524316152272366
1.02784774488816 8.01077733492316 0.587796143848572
2.68646098669946 7.74340083300986 0.567524144774144
3.8921692062054 7.83841719234068 0.513238046231664
1.157362253887 3.27817561799331 1.1442010724767
2.85358664964342 3.45456044250224 1.04965316671929
4.17999674450487 3.33204411449013 1.10805487852136
1.24649865533303 5.69967629810173 1.06319401126771
2.26948086928005 5.73424702708381 1.05764929839801
4.15946742980975 5.42273816096667 1.01175031359119
1.09204107928175 7.85634806714431 0.951385833016721
2.52064364603328 7.77216345238216 1.01944663768711
4.5020590798601 7.70986747644205 1.01947473479477
1.16756532254131 3.27810375420404 1.4353387688136
3.88977857188612 2.94319633789765 1.56314066845851
2.45634967384467 3.4472617276717 1.94357105296555
1.35883353578729 5.3235533568063 1.55977813533882
2.63947086040869 5.21929179082562 1.49284941759208
4.54498958553288 5.41811798030148 1.63312146159658
1.31924545112573 7.77227314846636 1.24249249235994
2.32492930417864 8.01095716488989 1.71139832086528
3.301453346619 8.08179067238339 1.77662879009872
