"t_split_1" "theta" "rho" "M"
2.1975751997233 4.09362711634097 4.31202201386829 0.885330487328777
3.31816281919839 4.07949376161318 3.8246898882454 0.744817013877699
1.08684496528208 7.57113905716814 4.06302727922723 0.751472720325808
5 6.69791583471847 3.59749471145901 0.693259014296507
1.58624516934346 4.02769777978757 6.65323218060766 0.671816405316111
3.56719118222387 3.92738117482487 6.77241602003289 0.737745358024702
1.65666823075717 6.9980306994439 7.57714598105773 0.73620674788351
3.4322456417725 6.81962869823139 7.86985669253044 0.694016235225317
1.48946098292451 4.17496694477133 4.20472254369301 1.4513552703929
4.48532367194224 4.02460889704565 4.63834336932809 1.40804302138361
1.54816566828593 7.03449158010961 4.20175183063651 1.44940588136136
1.52636939808739 7.56183429438226 4.12149326681697 1.44385110676031
1.45022118438178 4.0717644321468 8.32231578509835 1.36224683004567
2.74888921267561 4.23823790142965 7.24510892830727 1.40827393984317
1.22812746905199 7.30161865530412 6.87072548012884 1.45756156515186
3.89478364357639 7.00045553255675 8.48715625768703 1.47937597738399
1.87140588557338 4.0677756552989 3.54446207186902 0.795221632375636
4.4481641752076 3.91873343271205 3.32780832880969 0.765957227122158
1.50237102771918 7.04810077297876 4.40958915551835 0.809456791251618
2.55047797292741 7.13975548445459 3.36361985869312 0.711513078599514
2.39574574675206 3.71405616553686 6.7779927518539 0.740457701431956
2.27396440651595 4.10490889412538 7.95459743204935 0.772080629719694
1.96424325770994 6.90030402287714 6.73349143388223 0.804560808065977
4.12486857791407 6.99632759093355 7.08313707022 0.854856531313807
1.22377605039278 4.37883258050837 3.69795206381758 1.30441210980016
3.12449821770405 4.06653609279634 3.89605411391517 1.37559080278321
1.85551923849295 6.92627295408795 4.07113027238405 1.50649431583026
3.24633269551271 6.96618070093901 4.34721961786552 1.21074839319752
1.25396481845937 4.23870104271642 7.37161809908367 1.43974992606249
3.68928701954707 4.16741746865337 7.44473017781928 1.45505595411475
1.74290153791675 6.99360671535263 6.73564017078899 1.23541352713758
3.40372441495028 7.17772592888631 8.10656662036373 1.55307598991781
1.9734811775536 3.79434764483659 4.5077805756291 0.837906148161655
2.80805564454001 3.94899972388371 4.2679973017302 0.72815752904145
1.77903604170125 6.81889854165491 3.7906396712903 0.787739965952197
2.1981845121733 7.18007696195002 4.06923055792866 0.660918806312841
2.13458464980329 3.84130933235638 7.61117770589629 0.710123394931025
4.01770116729942 3.93403580257405 8.03002175913099 0.757192552525077
1.38759649639922 7.42119344657572 8.1383964124352 0.733260810103402
3.66455719277134 7.01838839986921 6.56759389770678 0.754647817386887
0.938956406417088 4.26428659490604 4.29346058041758 1.34063305239121
2.92903387412129 4.13653368142469 4.4448801569613 1.24382602757692
1.68865742341573 7.15644407033263 3.79828245084113 1.48591815169521
3.66455719277134 6.64997824751254 3.62441698700763 1.45719007676844
2.42980841240762 3.97324526027434 6.0933296152332 1.49060839766336
3.69107515479869 3.84716601084929 8.08765525410303 1.3519460501694
2.65004075017743 6.83861365414266 6.40742960241995 1.3280516305265
2.9795263500362 6.98056905284091 6.85145975938959 1.30833065428359
