"t_split_1" "theta" "M"
0.996010867318025 3.3956274125696 0.567537923959227
2.93358089491452 3.0304581962209 0.61593285763328
3.15067623013176 3.37949561902724 0.578840556839651
1.30146751618326 5.52535326654679 0.555012671707763
2.80240303507745 4.99791689396957 0.593721099560012
4.41088776673104 5.10025603246298 0.581684734664568
1.19991208718686 7.79839911936693 0.595058839313166
2.5459071748992 7.45806881208261 0.576825712789257
3.8133913550457 7.74185968761512 0.685307633552753
1.49106665484714 3.15128004603939 1.08383752233205
2.10416090943923 3.31785092581262 1.02884847621563
2.89653162110325 3.29870736404411 1.07727309264771
1.25886697223567 5.67122983883945 1.18202201707691
2.24638626550932 5.81181695798148 1.06996199331936
2.41021428338828 5.7134692542304 1.08443537139642
1.43623128088306 7.58968575420427 1.02375300720862
2.67958105333391 7.6170872894943 1.06589247104044
3.69470272632518 7.43606249711309 0.956056897272762
0.801866100498115 3.43414919232644 1.62912479680647
2.32682326106385 3.26612845075946 1.32417448673385
2.9428601558909 3.4498380009579 1.75253938211301
1.26383096361857 5.6440959757433 1.52998570779913
2.38829966327013 5.57449677554304 1.57177214552358
3.92105982138732 5.60426146023 1.7825382507423
1.41229983974514 7.71252622930935 1.44092647530346
2.8895617998228 7.5463576086003 1.58561465351171
1.79140991353364 8.5111090247157 1.70306223788253
1.13829189165115 3.33759133324516 0.50641851573159
2.41085297491177 3.44373360940101 0.513727779655194
4.23401122354344 3.32478621149961 0.598942816941691
0.930975682945865 5.79177674870999 0.499003140854847
2.89565347678747 5.32982163617176 0.558867656072768
3.27065976561174 5.99765063373052 0.641091483820983
1.21272125193672 7.73260676850785 0.563477959808206
2.35991105365515 7.77528353013492 0.499459555526656
5 7.14367815833972 0.577964725352108
1.48354539171508 3.36105627831148 1.03025803628554
3.5317616319728 3.22523327911946 1.04263492857228
3.58791475372332 3.13233401121068 0.987935718847847
1.43521298573097 5.54870247847242 1.05157404540661
2.7883190337001 5.5984766955984 1.09380039652017
3.74896678523546 5.56371553164385 1.02137704749978
1.51131200837133 7.56653243691926 1.01612654624568
2.11409571649231 7.81242404936504 1.05355849902625
3.25135910163065 8.05314368745911 1.23391309669226
1.39253380331827 3.14962884168273 1.80618320017425
2.22302436304851 3.24194275464439 1.62066364309429
4.2136731658033 3.29392417833932 1.26813540203213
1.2271953223095 5.9399341461649 1.47950464331031
2.05620635987134 5.68886284039515 1.44480695669942
3.31914507907295 5.57266426595852 1.44929558532964
1.2706364727996 7.83975153497776 1.61915153276945
2.98714707679047 7.53711923179948 1.48837746820238
3.11741264000777 7.86973230474098 1.60247429155937
