"t_split_1" "theta"
0.905199985241867 3.97433248865017
1.82581617529958 4.10933182576459
2.67256579293696 4.12763557895255
3.37009712056525 4.19411544029677
3.73522873447282 4.09561729295759
0.793322538537126 7.66782457185681
1.90747909634768 7.3484763239891
2.56747590433647 7.10746274806002
3.3914597850319 7.39884430679072
4.59105884957734 7.26226921499117
0.823820764280449 10.4681155476593
1.77938664935767 10.4576710145841
2.35553601686844 10.8156463506606
3.41149365920367 10.4705008816203
4.32227777433161 10.5316810782162
0.736747267634777 14.0126831678019
1.78349201317353 13.3052027331604
2.50253596401231 13.7671835361423
3.30483242016438 13.7176550895863
4.1054384073035 13.9726628262884
0.712931981016308 17.318590911433
1.67308440121752 16.8054575112041
2.48855169755616 16.7288399640197
3.78800994647669 16.7205293538654
4.74206485921511 16.8061004050798
