"tau" "m" "q" "s1" "s2" "theta"
0.750064520902054 1.84092433228504 2.48113653128105 0.739166022231278 5.50637414359039 6.98971459386006
4.96345279482266 1.8556348885771 3.35224985295185 0.7984106097559 5.90047418999772 7.28399518944511
2.18097986416512 3.48666071002556 2.99197416457804 3.33319046288186 2.37424821629821 6.95519873701489
7.06650658432955 2.87435641409212 3.50211487570706 2.35447365135827 2.88276480624927 7.02169748046829
0.389189483836057 1.3822306242333 4.91335906697256 1.36580032674506 6.89060648893687 5.97936770078703
6.94873829810821 1.50665556944281 6.40428163777783 1.11272524964041 9.90754333919253 7.10328021440622
2.52282473189397 3.96711009419494 7.1275170488154 1.04972488520542 7.12640548206804 7.10111684115979
1.40853235741912 3.38328704122583 5.00341865789736 0.588650236264111 4.61650414900389 8.16213593929017
0.49819700175124 2.41358022770962 1.99060857066554 0.399870044200671 8.12625287633629 7.15008718195909
3.23024643812232 1.71506435824127 2.81595772314704 0.486599533909381 10 7.68836464692822
4.38490456124615 3.13565603660965 3.33472816348575 3.98504591973554 4.79604440777215 6.91754237259637
2.08726398950269 3.32293630634326 3.48109235848519 1.49372095977952 5.26236868190992 6.28183677508012
5.33399975660977 1.67283100690838 7.07466042120677 6.38930088014718 4.60205536217028 6.58374520779688
0.916910053826258 1.86863967720954 4.63157900331559 0.448838678551601 7.96968160901854 7.21294354913194
0.489557291080933 4.25128702492835 5.2153778595713 0.427110887755635 9.81071408868624 6.5687934664451
0.842362564067806 3.81140564646749 6.10056017073387 0.87330756248887 6.7789315420683 6.731322527592
5.36852816464377 1.68834879458907 2.7604362921951 1.62434611613638 10 8.23739295458033
4.17040616675402 1.72970129324464 3.60021238012889 0.609559600379377 9.17070276955919 7.00137727861862
2.10722228125356 3.10840086407762 3.1304128337243 0.787185784475964 8.37564335303372 7.0960946587401
8.29957035748864 3.56484620293721 3.03882839098439 2.17989140414837 4.29832156347127 7.54184753307877
1.39230922228567 1.91165492323122 5.16335762733226 0.59417236061289 8.05270920839925 7.75962164763322
3.02367689941117 1.70248708977544 6.06390259078418 1.26503116366656 5.55421572282101 7.23891376818243
3.95315994791753 3.5787674056607 6.52376964356068 3.07135085951569 5.31004312732605 7.26929320078603
2.93394870057561 3.31771891976678 5.98899641153192 1.00536799376643 5.81388630759554 7.46548033579535
7.24094260698243 1.66439304565499 3.16216949495089 7.31174088538292 6.57701977725182 7.60136256458322
14.0069302119206 1.74911802673091 3.32142863617559 5.9539175636292 9.18928798452226 7.64580838297707
0.334893297334754 4.95127778468986 1.934379533604 0.160383787268955 10 6.47628171445747
1.3004242183004 3.70099530392504 3.37705597635163 0.800019428614176 6.70217521546359 6.52809729090785
4.82153477714875 1.75608707935902 6.85598466319806 7.33258096426851 5.60137284386777 6.68801294630199
6.06499962909831 2.01242174680531 7.00458428795745 3.57015988884499 6.11624299462823 6.994257058942
0.390424898682042 4.24139681001207 3.11001847519494 0.215879729850813 10 7.79122929257569
1.30836895069668 3.24945439159692 5.28649639639641 0.768603834641483 7.80783816981268 6.94946147279619
11.067330939774 1.83776285556299 3.39791585025958 3.58157440257136 6.21762148778705 13.9461626646411
0.159525031995529 1.62585057483975 1.9581569716468 0.382462685428949 3.75318927062084 15.771887089632
0.767617280207213 3.56329406372976 2.7006303821007 1.07930627755008 5.38257010082279 12.0553443089568
6.82262330046176 2.99418001813622 3.59407295372183 1.59281115054418 4.16477100839657 12.7518041552358
4.26979298843352 1.90347336574138 6.63908105473615 2.46331628204665 4.92880131368116 13.3205748550428
11.154830032885 1.56594614690953 7.13408857280236 3.74356040328153 2.40308211244709 13.1128926527085
