"t_split_1" "theta" "rho" "M"
1.85313195541145 4.13227158529561 4.16294799619769 0.818277617571492
3.20223544024416 3.89921094933898 3.90525631791739 0.813462871626649
1.47680971348423 7.47968276714052 4.37210122910794 0.734522377754747
2.8923414762321 7.11450372797361 5.10523602012412 0.760917973805025
1.5812502109784 4.13501742829806 7.18455972236553 0.692486673252294
4.16471286539391 3.68270759575541 6.56126285007761 0.682646625840794
1.73063020415738 6.64394875156797 7.84871312770844 0.697467748879773
3.00015584368155 6.92040907266798 7.43589951635237 0.806159979706073
1.54903683826973 4.15470872036138 4.12882005220329 1.38140675801689
3.8614310832964 3.97885427349273 3.90401785663672 1.30588011451722
1.59323456749681 7.13857904063868 3.69997436741318 1.2489424597207
4.44875328751868 7.09538213713032 4.28716868298192 1.4455034453398
1.45587822530507 4.12276457589477 6.85945326025864 1.19473823244634
5 3.83460958410499 6.54261530712023 1.25525276786956
1.30693784310629 7.12954297036992 7.85840130808913 1.353139987226
4.5347989367213 6.92666699859605 7.47725921387064 1.4470049494672
1.58462633461114 4.15791455205496 3.61982767806346 0.735368307236588
2.61482907819566 4.28676718285383 4.13944683624946 0.828224100293428
1.48861592910303 7.27663709303331 4.4414236391156 0.727120395148044
3.05865923896758 7.13604091276144 4.22859302778748 0.790783882260396
1.41729889276185 4.15409134742162 6.62069968895894 0.853804571765118
3.33117964652219 4.02379635229105 6.45631608343138 0.71605215729405
1.81812514787338 7.08180966627648 7.32414579572565 0.7154011693831
3.16084523445262 7.0920558638213 6.97716247044506 0.754655972074681
2.09575175712498 3.93252323044785 4.42772142924172 1.22556214610283
2.67656862223929 4.03037885784076 3.47428506379325 1.49511355184416
1.79061844687703 6.96196955158642 4.50727855990296 1.27469399494502
2.43414670628167 7.01641278301882 4.63591512973881 1.3107171081067
1.76026054141519 4.00283107882272 7.47677740826523 1.35974185739523
2.87226822053844 4.04229725357495 6.89178253749619 1.40560429410002
1.78005710576451 6.83007102065697 6.95795640782933 1.29253808247684
2.91642869143133 7.18903463863005 7.88572898632707 1.36629206363846
1.47682073927499 3.89020380302222 3.8717302119101 0.620634336584903
3.82218035801191 3.70153928749961 4.00978480708475 0.621052379612194
1.33821739018532 7.31387014323271 4.32995558312744 0.849012848464336
4.28051234828925 6.71301766776655 5.30996982963233 0.793719209493298
1.79381616492785 3.90447084983453 6.43002722757832 0.693935196653855
3.48986448597771 4.06806157263075 6.53290681691777 0.763298699566041
1.62260761882309 6.98303391112377 7.97750708068024 0.784651785625623
4.32413436669004 6.96700631874491 7.32791639488973 0.749812195560928
1.79846217016717 3.91124209562075 3.22543078912539 1.55525542865244
3.16906412771527 3.83794680391635 3.78171185651478 1.13874152713504
1.52453497731088 6.95913075492893 3.9909783350866 1.4506670569647
3.07805086269709 7.13163800081171 3.60446288697844 1.4189902117111
2.15453014153579 3.86873476237136 6.63931796649776 1.24985997962005
3.10330941441273 4.05352956462268 7.88008159155038 1.37293059469861
1.6105459744613 7.18829091523978 7.89228942726607 1.42884581482762
4.19905674526842 6.92968346160514 6.81388828184886 1.22685901423536
