"t_split_1" "M" "theta"
1.88533383236208 0.608291126915224 2.94750818966716
2.7565001730027 0.651535047553516 3.20146460824959
5 0.60313704181892 3.21394086870226
1.20559819776336 1.08085632876822 3.39075536051037
2.12615805087466 0.940157475071658 3.18275046238441
3.14605244670157 1.04782535941719 3.17145820343027
0.643867634003334 1.66355227788463 3.63107476190879
3.82140085516345 1.78428507766407 3.16587200917583
4.15248048393472 1.52395579717724 3.28669491391582
0.987076558268437 0.599357209618798 5.49121768106099
2.47129094688533 0.516402235429123 5.47583459826952
3.28498332582369 0.464547090864575 5.13900784828387
1.54654672886331 1.04247033186425 5.20348141565548
2.1584042344569 1.18794719761551 5.8708191898179
5 0.987853017379701 5.23925416851296
1.37005482492616 1.54842312393695 5.49439377874903
2.37262548184519 1.51889883049851 5.4249347202581
3.12587951492595 1.34363935670305 5.21584985776168
1.25029664827083 0.492547545886009 7.86123601440172
2.84864012283666 0.536358747603352 7.53990251513695
2.90888293658735 0.627298292176356 8.19007845523362
1.26334443706567 1.11349786163246 7.91187101649933
2.59321114775637 0.944873410416781 7.71818179627317
2.38674116581929 1.05592566254352 8.05233027494326
1.29952883970709 1.61756254409892 7.67885474267257
2.28691179651727 1.50806806773411 7.82932294976372
3.36753215866383 1.39440775380473 7.80802310135936
0.951685383137924 0.614569928367757 3.44895925275618
2.95918430727777 0.545383169396278 3.25833350654772
3.37106518563568 0.603255751176407 3.21550324880055
1.10640805252289 1.1100002216164 3.25462190882874
2.85218821268774 0.994781631880203 3.06088636318955
4.87214808338248 1.12167698091627 3.22488159043839
1.44834806264926 1.49915040036828 3.2544780199389
2.94937707748448 1.44586737699873 3.22414576492207
4.71756820322669 1.61642933254149 3.29917265568824
1.13775444363348 0.648826217504615 5.6614896594905
2.4480550739925 0.556088517071828 5.49554808884097
3.66455719277134 0.591855528363883 5.60305502309153
1.23146496667805 1.07126497042507 5.65215591410695
2.36368327054439 0.996970015467219 5.63483758786037
3.57249471363094 1.03488715544999 5.38685185023431
1.12356065195727 1.49085418384782 5.84263469497901
3.32386448198198 1.44294212929143 5.66655624356904
3.12808053963407 1.56213652888362 5.65636103475379
1.11927916337273 0.485746621849455 7.93509818031364
2.61140637192023 0.532860553029973 7.7097314149989
4.720466104005 0.443318049657197 7.14550891598333
1.49887913792846 1.03099742856514 7.38120538468406
2.64364234785494 0.942759561765533 7.68342890774744
4.5851096827416 1.06257112270125 7.54264173311373
1.23112646500299 1.28595299788405 7.80410071884245
2.80109610880395 1.70964490471534 7.75556496402098
5 1.79307169694223 8.02069392538562
