"t_split_1" "M" "theta"
1.26590535136595 0.593601400648299 3.28428493340349
2.30012841871642 0.596449052541928 3.22268723407653
4.28051234828925 0.626977820494 3.2848298495818
0.975819011296947 1.10263159903825 3.52862900130151
1.90514002665901 0.997883537872456 3.3069877819874
2.38115664686568 0.955510434551004 3.31904419318083
0.827645555437334 1.62742506566008 3.46862541302042
5 1.74493313395087 3.2264891973728
4.46585274768426 1.57466493480629 3.27752781763149
0.812208120521821 0.568888399022284 5.67970380259722
2.82716817577867 0.545669233165312 5.3693573018047
4.23177947946709 0.504967044922063 5.27394592746784
1.56039370372338 0.991822701651069 5.3701810380829
1.94120007080237 1.15710184705178 6.11507513438367
3.92665806841207 1.04347954374382 5.28115870511258
1.47020109113927 1.523062936747 5.4951577142854
2.34735949380091 1.40272345813095 5.57910209081749
3.48836475814758 1.46788495867344 5.26065351073863
1.10467148856172 0.46134338731777 7.91307213578887
2.72277820206298 0.527073800055153 7.65072769211513
3.5240132780358 0.638144860732248 7.91583627271181
1.22179899039513 1.14077157189768 7.94923209883909
2.9447712708569 0.98682482154575 7.48774379333862
2.54736542191575 0.999789533007333 7.95987767876479
1.12616928852544 1.68977713128815 7.85853437254611
2.69839881921465 1.50638726175855 7.74518012553689
2.89299523610561 1.54706208342891 8.0309079595405
1.05654945746713 0.59826889935695 3.28486553082419
2.93124296500187 0.573783643160745 3.19398280084169
4.90660300906969 0.529614412549004 3.17236713274258
1.40415172166998 1.05383159081147 3.14347999824747
3.3434998911197 1.01380668459589 3.06048633074579
3.02921052887712 1.09045397533148 3.31123195531247
1.17117027654836 1.6187166659592 3.3400640475755
4.45161059943746 1.44508478280396 3.21387800048386
4.82270176975303 1.67506216440689 3.3686276707619
1.23998604926837 0.628491687730156 5.60095542287319
2.56316339457875 0.574283792887476 5.63592694914839
3.79190596786166 0.524826270480503 5.31201894487022
1.16369824649199 1.08941167339022 5.73222676542489
2.73960458704785 1.03568381090476 5.74531253805667
3.95177133398458 1.0760695198834 5.39877866634423
1.47415899648655 1.38567439036054 5.3532358542334
5 1.42493976099362 5.57488156457774
3.58096595651289 1.54195135976926 5.6390747375849
1.02353992791786 0.483031587105984 8.07646201720628
2.19086043405961 0.521212976838727 8.15805837163817
5 0.496341222783105 7.40852158030402
1.46131515268051 1.05765968274485 7.3615833014278
2.44561517697724 1.00141953188102 7.81900250164888
3.48568935435447 1.06999336203093 7.79411060542271
1.31324203966003 1.3387154701027 7.64395178228744
2.59132343037924 1.77168236817649 7.80574918150974
4.41495191861319 1.57765262770496 8.01545788368514
