"tau21" "tau31" "theta" "m"
1.26863106732422 1.76696324533049 4.11315247140006 0.714404097584578
3.45300542544825 2.22891632255544 3.83934172808856 0.679753630014807
2.1069326275499 3.17236521711112 3.9676510734684 0.722291870378355
3.09094161336027 3.44599752554933 3.97104581007304 0.722256683476024
1.71743202274775 1.26868477337136 7.15074664407247 0.756298364228154
3.20902830893782 1.58700529624893 7.01291626511803 0.730477274566145
2.62013817708865 3.35570693191893 6.86713232507029 0.786032126632245
3.14477132907472 3.48676606296555 7.03811642255278 0.715133360777601
1.39540829964371 1.8875637738872 3.9366808182109 1.40405074975618
2.19391317388649 2.74258648046319 4.05938194663608 1.40221844330767
2.49126307084172 2.57671900563118 3.96027811379253 1.38226753380865
4.13505134108353 2.51086188179001 3.99373896718925 1.31558484535174
1.7338383662447 1.22338898987963 7.0282188538636 1.33060051215791
2.1773534251561 2.78057285128975 7.01788937369187 1.3403915392247
3.15041118022763 2.84577556710163 6.74090616004529 1.33421383145771
1.77773002810583 4.89248758602196 7.0477406022513 1.35580968708686
1.67981273449332 1.81374925751543 3.9316217612166 0.741195440055632
3.05179902905721 2.01043572766079 3.91809703483143 0.677470598902912
3.36908771689173 1.60764293276228 4.03709038489169 0.792869425625125
3.09802479209243 3.38132793272377 4.10892063199039 0.780865837489376
1.6659328875067 1.63061612157228 6.86177786574216 0.756020065041876
2.74218751385666 2.60633531768261 6.89740112878803 0.722238795370503
1.58895797025223 3.49264901197112 6.99280748020555 0.723632577477991
3.18769212867997 2.41896430288351 7.25411557718525 0.752459006918299
1.64601520278034 1.64562034758562 4.07275364873894 1.34848139892758
2.8037428154013 1.91623275429401 4.03946790935442 1.4022562758786
2.86908341747375 2.95573924297322 3.89779961745245 1.38186432920524
2.82909274896413 3.45015309018385 4.04946581448162 1.37436084009765
1.72107035584272 1.44279062598843 7.03980312905909 1.35016803292645
1.7457174434222 3.13679640518951 6.90874355478505 1.40328052205646
3.48600228709212 2.8524669259647 6.79086161502272 1.32067901645239
3.16450193398165 3.89450036852389 6.81031888526426 1.42117981411576
