"t_split_1" "theta" "rho" "M"
1.67716402772318 4.02305474894839 4.03530199451531 0.712559364029499
2.91269378125751 3.97433140827129 4.12201880490155 0.677660281074084
1.7979836714278 6.91533678190803 4.75692145082287 0.74944356339555
2.38511472850881 7.18121256568925 4.47835252324254 0.711071380994135
1.52141522364302 3.95546847879521 6.68738878135304 0.794265681073521
3.90331599915598 4.02565893739594 7.02323340814627 0.799816108441249
1.89394503378945 6.73501133722992 6.56837071152666 0.746539406711793
5 6.85794297699048 7.19045353791937 0.776275164844471
1.43522767322359 3.96541716252168 3.7837794122603 1.75075211700399
3.65240837433923 3.87633978792047 3.93556529074638 1.4733286837381
1.77801990034981 7.00937387414458 4.52021245788022 1.51082099128148
2.76677855282555 7.07516922789356 3.44781082252422 1.33323431200641
1.83658107444739 4.03896702879921 6.87195547836251 1.41231608524755
4.15239610187541 3.91793077411059 7.30297968928123 1.4043790901267
1.67158981288998 6.91114846182362 6.76245557112315 1.38857431620286
3.57313096491881 6.80480156021914 7.01831690103865 1.37594504606147
1.56064595338561 4.15908335556563 4.63534123631065 0.734412824315401
3.62270128575992 4.05304523292339 3.67908620239361 0.825903077783596
1.75757068531705 6.82080472723623 4.72443028619812 0.667786247683541
2.54836853893771 7.02080108855661 4.91525428022343 0.620500849502493
1.15519892124634 4.13960754650572 6.75266239912682 0.667074210940582
2.65145987342788 4.32352793260238 7.56997127120383 0.729969274879658
1.88669770560069 6.92600859918977 6.00402492471448 0.845099496118051
2.19178433298347 7.02123144128209 7.49156913521755 0.730129528408579
1.9185127388186 3.9636673010147 3.38778888827826 1.19423033320089
4.41378779647558 3.965995584505 4.43152928530502 1.33440035450105
1.92659844563208 6.69695369913405 4.15446317314193 1.16795576508329
3.3893258602756 7.33106197635127 4.22321207447814 1.32422306193289
1.06232795572919 4.48843683466374 7.86214423628791 1.46774353229806
2.66271444601489 4.063323271894 7.18374263011376 1.27835079781649
1.47267320552678 7.21337051507763 7.83348907389189 1.42354911949433
3.35090907017445 7.01513848718651 7.36689172692459 1.34772737959037
1.32260242348676 4.03432712851077 4.23533817517237 0.69236688206194
4.4272900443066 3.97185685970997 3.05742844564959 0.707319770269936
1.60814831209506 6.89762185525243 3.29218481166318 0.76111866288725
4.37568519653225 6.70126388751922 4.3544005638193 0.713311480253863
1.92897502592294 3.93206281226986 7.26434263270558 0.888837888590167
2.11817683636508 4.05177191944063 6.86443932712947 0.779801461741204
1.60363564549698 7.14104163059208 8.37196196325474 0.721079969462358
3.43494227744849 7.14638212170891 6.55068426072195 0.880221318526
2.16267000098925 3.83953027530478 3.69768764304868 1.40339673331044
3.4053995729283 4.05661432143106 3.97272842495254 1.42053879134596
1.44334643696103 7.02800642817777 3.92468050543196 1.35478987609363
2.80420210398954 6.9876596549384 4.08830954236938 1.25172185073186
1.9820173320819 3.88186702344131 6.88777172429445 1.48489195518751
3.60892231243165 4.00850430012625 7.60941345604761 1.21307232468481
2.2473584197728 6.66038929522739 7.63577034735918 1.33226590257582
5 6.78354739306953 6.71783097871822 1.27572714505842
