"tau" "theta" "m"
1.22823776738161 3.03944467314134 0.522424472100323
2.36406863672593 3.1965009585017 0.556351577682535
3.83388369291299 3.36049321670212 0.612571820384919
1.21744900875382 5.61067147951398 0.629073296430463
3.0481099818652 5.18104122065882 0.496220599508106
2.89344852410807 5.78264605288565 0.538888367694084
1.22496241915234 7.91414493984659 0.61051994026366
2.3207639548011 7.65242494252716 0.668447072138537
3.23175715863236 7.90562415314745 0.53246902734793
1.21742480184304 3.18653409814531 1.0525813741673
2.36050524374055 3.36236208278976 1.01528848901579
4.20078064497675 3.19030441242167 0.92544189655928
1.30443739414759 5.40022326752652 1.00770493821544
2.25388768299234 5.59875838444624 1.01257508408045
4.86335379005019 5.29703573151052 1.23092855666197
1.22775289674605 8.01591877465468 1.07883614391224
2.7516707598858 7.68878053555265 1.06719808520304
3.35259499984871 7.88590602654929 1.02786674261173
1.71313504029819 3.10424919641196 1.51610825817352
2.77837883288038 3.1139172699029 1.38338094389484
2.59904420498355 3.16592668472355 1.35678058376185
1.46077033335842 5.47282502098538 1.42014890699488
2.21868942546077 5.46561205880188 1.64300212159183
3.25071487099469 5.86465720976332 1.31237434243358
1.36319676777117 7.52519995250776 1.36198659622983
2.80474836639862 7.69311290797644 1.6349610024633
3.21036121551008 7.63452340300982 1.67239843257707
1.49412754977262 3.12422544292276 0.617328302140071
2.18541371237684 3.34311527417423 0.462887238111701
2.88156450219333 3.28046308638852 0.65088504301629
1.25791460771276 5.37550480181904 0.568620492992382
2.40063788323648 5.59425885810896 0.53242341576064
2.32421803966586 5.51195206937103 0.527614318821266
1.14060973394417 7.76768155860831 0.581106410108944
3.05010750375488 7.439756262734 0.508499177936703
3.95080105868406 7.71377992853389 0.562835196250106
1.16979187531872 3.17230600121362 0.942090578116699
2.04571246523319 3.18912513886697 0.887938769806632
2.0536146389212 3.39961828407183 0.913640582703922
1.42989055111057 5.40737916664728 1.00454752626968
2.52078966898408 5.41562084402491 0.953985289832937
2.97849580529249 5.74434724996399 1.03366263530264
1.09518936755046 7.79465123088068 0.941146927869428
2.41978509358824 7.82500278582026 0.974268548641344
4.01499750413954 7.76360089288304 1.05973687183823
1.81198065062872 3.23707751189425 1.47927341767083
3.40824639889315 3.04470658954429 1.6186859791109
3.14020102050484 3.23111609849464 1.55745614985947
1.07942323567756 5.54651253143018 1.46848498061558
3.0967542022388 5.26858513526116 1.44977049425323
3.13701017150909 5.48941720003024 1.52791235658488
1.21083328296386 8.11644825671197 1.52806844236278
3.05598001332689 7.95655368278189 1.55659124243881
3.88554015692701 7.66151298715358 1.52746139760011
1.22234064422708 3.20053223322806 0.561578738044747
2.44705014080642 3.1767249057729 0.479662083096813
3.84455930882418 3.26258568885682 0.620809107750904
1.09471937101361 5.74873950749485 0.684691429400328
3.00209504130283 5.41557107499077 0.620273255696715
3.19229929130908 5.77579261167462 0.603168791903431
1.47988531816479 7.65017497181181 0.590595450609867
2.63082503088213 7.84487088388067 0.584887651298643
3.42491817749715 7.99293244340848 0.622726155115993
1.4489584407791 3.0200145714015 0.868398733537746
1.87110190711397 3.4262454204202 1.24356381038016
3.91004709697868 3.16759179750445 0.96591291382116
1.16435912422782 5.58960798312784 1.08290808060528
2.28434530145864 5.57545732925269 0.928832118675248
3.03079449059051 5.15126752492289 0.928861802621996
1.26713278390051 7.83735300028626 1.06011805463657
2.49306592164162 7.79187216557196 1.10716067223907
3.357249610643 7.64737507402454 1.14115060238128
1.32956716860301 3.15841987041326 1.53170823887254
2.79459695576025 3.16639287280997 1.5070441536014
2.98115669980345 3.53422122922022 1.70445396702389
1.30389669288075 5.69495130227118 1.69234730330502
2.42333135808322 5.27751678509975 1.75741173126895
2.79134572780402 5.52380926653205 1.5266977371977
1.1596449514915 7.94949545121208 1.40547744683157
2.48331431657025 7.91826466629304 1.73680703001122
3.09886223420537 7.92840747103651 1.29164285572172
1.42607584369735 3.14122808065303 0.50332464469495
3.71225187890997 3.21796579846383 0.614713750084588
4.05122178774934 3.26763674138658 0.545381659366213
1.23824761643361 5.75625693568808 0.588448855115122
1.96354252058118 5.8321668806828 0.634701381745177
3.35483334663153 5.59231782631698 0.58205940471793
1.0302564736821 7.94980852210178 0.647466886138473
2.54086646685164 7.7843213786839 0.550355084280645
4.46667265720434 7.85718168706923 0.526028234910503
1.2538019567333 3.29090255900048 0.951809056381737
2.51720124317236 3.23281563183442 1.18059280559971
3.8177474481272 3.10579666102212 0.92696498212846
1.32374825319164 5.44065710811859 0.934698816491363
2.80474836639862 5.70778116613569 1.21952389189754
3.88554015692701 5.37189023147147 0.902265135870164
1.26112818486896 7.49407465007579 1.06162973937994
2.29140598860113 7.59955055583095 0.938336124449836
4.90548719934231 7.82853349339672 1.11234603421233
0.966939953778623 3.37765073837258 1.57546574112993
2.31205217802456 3.29080839108489 1.46836804345579
3.46175636503856 3.39984520471985 1.33215271934073
1.09887941288361 5.52085514922266 1.27532494847721
1.4937162871657 5.78909986124469 1.58876964633697
2.55214220512962 5.59214879902978 1.18815918986509
1.09559766160015 7.99841894260834 1.47922312931393
2.19139116467287 7.96186905168527 1.75230051591441
4.33193991905215 7.8421478384529 1.79531466034236
