"t_split_1" "M" "theta"
1.29453569205987 0.618302434510478 3.34578103150611
2.38306918780702 0.604782860626077 3.25452608581805
4.72350089451336 0.649902167563455 3.21523719876907
1.49569449931924 0.895570622559883 3.31529397042038
2.42370227616904 1.08997668894197 3.24379488883233
5 1.08848423325351 3.13142560744521
1.05618264834161 1.58379224638433 3.34682156898501
2.35911275421014 1.47533879302378 3.23886675850013
3.04767404257968 1.5212574416623 3.25214098073302
1.14435897544437 0.585107235920512 5.62841444051942
2.45892367335263 0.634537720321534 5.74998556058047
3.73995293157183 0.54119698665926 5.43462764350781
1.32418140659233 1.08772726282376 5.47311529078319
2.20424632286516 0.942994154770813 5.5411675526194
5 1.1871981923023 5.49446674492727
1.25638796942789 1.54901127727875 5.51207286723908
3.16017750018026 1.35365628223625 5.40611045563795
4.29630736847758 1.52723698352526 5.39764779832979
1.38097007849443 0.565444530301487 7.58356527071111
2.28669060273812 0.530806577502599 7.81866408766951
4.13702963517136 0.570106010308792 7.75383018030871
1.3083370380444 0.976800101660081 7.67745845938464
2.53269769545951 1.15406448562995 7.60059891276895
2.60984788794377 0.882056579158584 7.83467940911345
1.08173183325752 1.63898134188434 8.05395769097963
2.66865082959465 1.50260499754064 7.83079617809076
3.78217492374989 1.66551078446399 7.73449202588764
