"t_split_1" "M" "alpha" "theta"
1.27409610759441 1.2509246487702 1.51566290148231 5.91138878998177
1.94223275161 1.52238584610814 1.43533835908889 5.94874140244999
1.63398556378462 1.3436448397455 1.57946688351613 6.00059082720584
0.682848941711411 2.92583407725857 0.971151658793694 5.64960197505134
0.796777930163582 2.85843602159762 1.25330283667687 5.84409155779104
1.07175675581029 3.01853345302284 1.74487447702179 6.18173941846262
0.906708314847655 3.66687055934544 1.40767949065314 5.81195864240463
0.716680669672599 3.75599155903571 0.109489861667226 5.25500147040028
0.912844699482654 3.55202320106721 0.969835771034707 5.46181318944422
2.02025334011716 1.27176748012336 2.86941373274139 5.76384049187442
1.94794904866606 1.49295821489876 1.78897391374388 5.7929363966952
1.82769436536604 1.31928830280841 2.49470991964785 5.75952626948196
0.453870603399164 2.3946375616091 1.89972150440776 5.93996921167277
0.367649948731135 2.47295335535037 3.90863806215254 5.89172178741309
0.617893880013509 2.26714197710894 1.11405334121078 5.34766937575689
0.92188507209314 3.47584728307988 3.05629121866814 5.83695225314484
0.232692036789305 3.71091984948664 3.21863864454944 5.94007601013977
0.969990884225509 3.62813614554622 2.85058152003015 5.60354740612705
1.41273053926236 1.40395573275666 3.51335154975474 5.60986742659942
4.67866515290697 1.23516913262715 3.07760270080108 5.61885412843525
5 1.27890046447265 4.26898112204801 5.91217243430458
0.931167264832029 2.80661592924234 4.13256393863569 5.81010086016026
2.25376578208553 2.51751364322183 3.92555940447238 5.75526753400978
0.376577570434229 2.28725037108041 3.38807891363391 5.6596243416891
4.68629957502403 4.22571079917516 3.15196795835896 5.73015226313181
1.62236319703103 3.64832944337945 2.82514846024108 5.43579042400987
1.65292889047463 3.74393820926011 5 6.03528513890143
1.50055457929979 1.44029674106645 1.4236940852301 10.5035043260385
2.29758795976852 1.17186619855089 1.17278253094767 10.2890462655536
5 1.36933617082237 1.85269890395512 11.0871330928619
5 2.30640772770335 1.02651053137043 10.0568485767887
1.39355625085223 2.80077650361101 1.25780678743132 10.2850130553177
0.836866058929995 2.58572501705353 0.929490581453541 10.2346346099044
0.594603557501359 3.89569465811685 1.84713594669147 10.8152162174842
0.541089494162471 4.28588130452531 0.473932849612373 10.4196193245331
5 3.30563466162664 1.24925343988984 10.2649560556617
1.03603384233672 1.30934053617609 2.85048055039371 10.837815100446
4.39340558990621 1.44593931528987 3.47245172408313 11.3117680509122
2.15823923235714 1.26644221209922 2.32445817861221 10.2851519375909
0.638122051839168 2.76508271555199 2.49399904248252 10.4444555100818
0.566407918469167 2.22200905250475 1.59040612031196 10.015631303354
2.8969651767454 2.58833784468743 2.17949237222635 10.1503354814041
0.305050093508327 3.56661566592003 0.568033676622838 10.0684026512206
1.29227535188048 3.95337223333692 3.14450828400418 10.9715669152779
5 3.66914099609005 2.12899556355827 9.94481811786699
5 1.4630109357221 4.23770675719663 10.6068709451971
4.45930055331191 1.37892576693564 4.35722160135166 10.5556163946059
5 1.21965127655167 3.2985441118068 10.133426813343
0.980455722848876 2.90629656071578 5 11.1987242256836
1.35290541762258 2.66646785213552 3.70807621410783 10.7165478436222
5 2.54843398058026 3.97894091954295 10.5978551993041
2.13340350322324 4.17201977667971 3.45950570798524 10.8579044201843
2.0867988172754 3.54899201162831 3.37616112815829 10.2302395813237
1.31823266903545 3.80368703550741 4.95859886435622 11.2440098220622
1.43579614084084 1.40719662838289 1.44376311273353 15.5980662543379
5 1.3346200362691 1.26798677960518 15.0126436809589
5 1.35951576669484 1.1710198499506 15.0553560639084
1.08530547981449 2.43920427882908 0.839732001380118 14.6644389005321
0.724499225564169 2.37166121092647 0.365728423005961 14.4066816876746
0.997594834439208 2.37655499580671 0.770880566480823 14.6858595609527
1.09987617348572 3.83467246900324 1.00382801366236 14.7540657375574
0.869258844960535 3.62895933488058 0.336197603444201 14.0278333820307
0.992724192747478 4.01233252525365 1.73304876978437 16.1460101094513
1.62049723252988 1.30361407498822 1.94600972847331 14.6569359721328
1.28502152603203 1.40071021714357 2.69098110972722 15.5307150255111
3.42001089572062 1.28805440649927 2.48896381145349 14.9923674078497
0.815808675120673 2.59007492720484 3.48757360085938 16.2214564953293
5 2.3448632923536 2.41129640786926 14.7621966473456
0.697690687767859 2.57394373128107 1.5900611197377 14.1054835916857
1.99332706871277 3.94958149671139 2.24445646248946 15.509943991184
1.70850557228725 3.65708742924806 3.00109134860028 15.5429947625354
5 3.56935053199459 2.31030185898648 15.1033858545108
1.72457100488643 1.27144749276923 3.14537379212137 14.7207303063287
1.49289608651332 1.35900121943567 5 16.1768672898032
5 1.38855837779789 2.90797856111604 15.0512398882015
1.13034555829512 2.6836184386483 4.22910517137704 15.9549465234953
0.889071395114363 2.56293198903165 3.72218975795601 15.0710255432217
5 2.64745285744784 3.78519126456374 15.0293133576542
0.745876534960153 3.7763054608319 4.47254476413685 14.9410127955612
5 3.88451204047282 3.46416770100501 14.7637649419452
1.27575198719766 3.93045545158843 3.22975982223687 14.7915334429406
