"tau" "theta" "rho" "m"
1.80759537150565 3.99943453884535 4.01202651423131 0.77489866359986
4.5622334037354 4.1237945624185 4.38099662884265 0.789261328547371
1.4420573000642 7.34368218426268 3.56548670812294 0.757098501333802
3.09244817983789 7.06886859932231 4.02534523824754 0.681388915224278
1.86114488113336 3.92369082402783 7.39850798515828 0.753396604163904
3.77016540566064 4.03377747682213 6.69512961746039 0.751825601508722
1.76918736535604 6.87250548184184 7.39001571918803 0.807127724149124
3.8589824652667 6.90931509489462 6.90670919217013 0.762839323250902
2.05382618608145 3.88785048783512 4.63825127104748 1.28295472724415
4.28685556668698 4.05905041100366 4.83256623398299 1.62805962601288
1.61650594526529 7.25498766788311 4.21236694085078 1.52917434776391
4.44539188202572 6.94255940040023 3.63603704971553 1.36596973370074
1.32119915796069 4.23686793518612 6.89229127578926 1.48832365776742
3.25386245150723 3.89059713665565 6.73206272781895 1.32494796232453
1.48401031017882 7.22701515652866 6.27930085853234 1.46686110323401
3.17472524810139 7.16770821552789 7.24831686753171 1.45145074913618
1.42747668418435 4.06399046089741 3.28698196492786 0.708540910256591
4.88540350158993 3.74133121495251 3.82236753224005 0.75589415485561
1.73641769312477 6.89915586006602 3.78502570049297 0.645555431442162
4.84099286472872 7.03227695498443 3.64923736794699 0.769644730731506
1.70974496398625 4.04146089753929 7.75863121529939 0.673621988926583
2.43152857363345 4.10139974268984 7.34044168045503 0.698560191968734
1.74102749146465 7.11182228324768 7.34348841136758 0.692323783115097
4.12044265595273 6.9404115937135 6.65034615593223 0.70684368508237
2.08220154331319 4.0839787129011 3.96844280309092 1.60929401216814
2.57691285311243 4.14448372543448 3.76671172105215 1.28317351218482
1.60920905666505 6.78639920888009 3.84061004826306 1.59995654443369
3.31410857955726 7.25508994785221 4.37994476231166 1.26543400711034
1.42438856624898 3.94321988385 6.89218347924433 1.28013682098373
3.67928728902352 3.89582257808172 7.41708851210395 1.38072347911874
1.89814237459534 6.78200495582974 6.60369695751058 1.40674077093628
2.32341168732132 7.17076381888197 6.72224178770403 1.53002597720945
