"tau" "theta" "rho" "m"
2.17361884555683 3.87231783483272 3.64026214970702 0.778735492171998
3.77319873806089 4.12556379485724 3.7735149973328 0.78476560311537
1.45744765010408 3.6865478720954 3.6865478720954 0.815297759373783
3.27639470047568 7.020057820365 3.79159930499307 0.685629324137683
2.0429082157567 3.85760331388073 7.62185071915015 0.747445417018728
3.81088683718568 4.02186970763158 6.83957823929249 0.760585444472136
1.66383412533646 6.94678813631839 7.6933791209644 0.815755234268615
3.39928127317855 6.98929129133351 5.76862998073863 0.760082293138478
1.915211165201 3.92665169397714 4.90886635393353 1.29733502437697
4.86354452671939 4.03805187448165 4.94900986427346 1.5815084587263
1.45744765010408 3.6865478720954 3.6865478720954 0.815297759373783
3.47810304302876 6.97386200398692 4.3953636349611 1.36617441229416
1.40589769901121 4.2168629256082 7.0284486029357 1.47157972126313
1.61569362221423 3.97478499839667 3.97478499839667 0.880197220872276
1.60773777600474 7.14782321146336 6.65493969233209 1.39969607195397
3.84541673242921 7.06611635966546 7.82798254876848 1.43684641746873
1.48991569524472 4.04489913864555 3.17807873833415 0.704371319916995
3.86099463035772 3.77791128281999 3.71016259682824 0.743775412545758
1.81601490528808 6.82848018088084 3.60356423335514 0.653543909350896
1.45744765010408 3.6865478720954 3.6865478720954 0.815297759373783
1.81980568679976 3.98468229698103 7.59776962749919 0.662576476888784
2.54468386508213 4.07210413349829 7.39532278149068 0.696113546572158
1.75733064074036 7.11400299947175 6.96764835214594 0.689442827430916
3.80658518900197 7.02865813308365 7.74100103703267 0.715563635265738
2.33628148254878 4.01004686303496 3.69379585756869 1.60451066125707
2.64728154890579 4.1065634288564 4.00472791909534 1.23697431221855
1.45744765010408 3.6865478720954 3.6865478720954 0.815297759373783
1.45744765010408 3.6865478720954 3.6865478720954 0.815297759373783
1.25736903033303 4.02246472890188 7.49108660346963 1.29589676102974
1.45744765010408 3.6865478720954 3.6865478720954 0.815297759373783
1.78150330971051 6.86041709954145 6.39441888661149 1.43154340862778
2.77754186869851 7.0530331209005 6.34970958469354 1.529397096255
