"t_split_1" "M" "theta"
1.63695447223206 0.591057113861953 3.09799154610937
2.89819907016202 0.651396620481218 3.11133465349322
4.28051234828925 0.618908761018699 3.21713570473751
1.03994756839863 1.04855939018158 3.51177109158069
2.15309904434827 0.963482240531544 3.20565463374714
3.38570370988343 1.05841067978358 3.15986804012775
0.623199627965627 1.75741076664765 3.71844543772158
4.50618806781872 1.71185469188006 3.17871818434883
2.98638853822099 1.59859399040863 3.38709135238587
1.09692501716359 0.599238527457809 5.39310264893307
2.59496738507937 0.509822017755914 5.35881026693396
3.24493075339114 0.487817120230744 5.46111531286552
1.42653397356154 0.974043320180626 5.40939830059448
2.52432988382838 1.16425084476956 5.67042837632524
3.82314950863859 1.01724431530063 5.20950278951144
1.46103406285326 1.4739464675781 5.48833581820893
2.06946070849896 1.44270156145884 5.68024375539841
3.40011291898554 1.3614143055759 5.18631189225516
1.19634169963889 0.479660228245321 8.10078616195728
2.57136046430467 0.557757413231647 7.71318248564336
2.78501047130807 0.636573773581671 8.15074707682589
1.2714927563143 1.13164992054631 7.74428225782233
2.25379588579681 0.971762301147865 7.93529430760421
2.32403971673047 1.03932269710955 8.04017934934139
1.26713937722976 1.51711455187142 7.81965857908564
2.16876616080733 1.47275551729987 7.93418884879143
2.52207328113634 1.46543352966776 7.91533131111114
1.17515684137721 0.614868308653069 3.19150222414186
2.68632290097216 0.570678831420411 3.23789900055206
3.47523038456482 0.595614257766377 3.24031729359903
1.17417370792525 1.10722213049914 3.25626631785454
2.89512311881379 1.03672997553929 3.05126992202487
4.38461786982393 1.01959310830645 3.18846518390238
1.30064878562243 1.52017949471791 3.34528960978946
2.63033036135409 1.54471079320099 3.27120898815668
4.17727791539056 1.60191151756598 3.31131334807535
1.37284038227769 0.602826427212961 5.4625939763562
2.41921067763629 0.561878204014517 5.58300835766657
3.69767043325283 0.575469229198731 5.36901648747932
1.13906910535305 1.05937751197959 5.70366933273838
2.2875629429268 1.03928894126806 5.69882306109609
3.99712776400295 1.03587225644223 5.41465872506724
1.20630110230166 1.52725696276225 5.70793089454746
3.65494219717817 1.43502227281292 5.59696473085477
3.21068396050474 1.48402065643846 5.56040707466964
1.13825887434942 0.515807937595197 8.13470024490125
2.20279953185461 0.546739139666451 8.04899855930972
3.81730619437302 0.460241537376432 7.60408629859622
1.41987506707424 1.01917285537381 7.23589645347273
2.63185768217072 0.922393479578147 7.61663204824554
3.43940744079675 1.10004996183745 7.9404099268431
1.46442418639124 1.24234930976802 7.6931385578029
2.46386424513053 1.73488948089735 7.86923818687326
4.27254809127715 1.85282922105709 8.23778282890113
