"t_split_1" "theta" "M"
1.76718870577301 2.98585764715828 0.614698834685225
3.50247896251637 3.11789198934643 0.631481147298743
5 3.25658892848669 0.609008368834874
1.30608771249345 5.48813934011973 0.547713651125056
2.43715380273651 5.74028443829348 0.629436359590451
3.84530937831874 5.39116418900299 0.617238207357924
1.26902159360575 7.46625983932834 0.618570932420555
3.00181744770276 7.7132855976936 0.685639802952022
3.69661469409368 7.65310035414992 0.519117912030042
0.954431124051978 3.24998869850735 1.13596032212435
3.10176457912192 3.23792219020876 0.896419740175166
4.82920952985721 3.13045470267511 1.09465107934357
1.45045138649314 5.32843554785748 1.0453970664668
2.46999159879873 5.74261260858171 1.15541040503762
5 5.14178835317689 0.960483996066985
1.07088334695863 8.2026925874029 1.24745110147579
3.00478028164197 7.67634008660832 1.04637100739617
4.71289387313992 7.23418737747862 0.829684482106697
1.10183883505759 3.41564438146485 1.41843602097017
1.75838101496359 3.35463455801505 1.51316694040849
3.85327341439071 3.35743071512265 1.51350063275624
1.32541859505383 5.43971387894051 1.44650717938638
2.539570286835 5.46743118316772 1.61324576520721
4.2042803111535 5.41938203157475 1.42890253879555
1.22037991738887 7.90277943694606 1.55308394539726
2.63255273537227 7.64942266246192 1.44011541371806
2.45665945182113 8.01829521880436 1.49907564839904
1.02799079381411 3.3267986824616 0.605492468878388
3.31004272314911 3.15302904253529 0.569204683227174
4.53763023891364 3.19960302111921 0.584762707971998
1.31546076861377 5.35430660235713 0.560464830293942
2.74229651057319 5.53321822975326 0.687062702988695
2.8188889116246 5.55178628534723 0.524316152272366
1.02784774488816 8.01077733492316 0.587796143848572
2.68646098680164 7.74340083296955 0.56752414477279
3.8921692062054 7.83841719234068 0.513238046231664
1.157362253887 3.27817561799331 1.1442010724767
2.62260317195931 3.52785153157615 1.07940178482334
4.17999674450487 3.33204411449013 1.10805487852136
1.24649865533303 5.69967629810173 1.06319401126771
2.26948086928005 5.73424702708381 1.05764929839801
4.15946742980975 5.42273816096667 1.01175031359119
1.09204107928175 7.85634806714431 0.951385833016721
2.52064364603328 7.77216345238216 1.01944663768711
4.50205907986036 7.70986747616753 1.01947473479669
1.16756532401263 3.27810375401879 1.4353387691565
3.88977857188612 2.94319633789765 1.56314066845851
2.45634967376837 3.44726172740277 1.94357105292591
1.35883353578729 5.3235533568063 1.55977813533882
2.63947088625051 5.21929177157797 1.49284941181866
4.54498958553288 5.41811798030148 1.63312146159658
1.31924545112573 7.77227314846636 1.24249249235994
2.32492930136399 8.01095716541515 1.7113983204348
3.30145334654078 8.08179067184338 1.77662879008881
