"theta" "m12" "m21" "q" "s2" "tau"
3.16112948970469 1.73048534444088 1.53411652124331 3.42602697155667 0.644436596984184 2.3673305437502
6.73769582923877 1.64612760877059 1.84238894642995 3.2845499603593 0.437997060535094 2.17004464116194
3.01508190764945 3.67223851977086 1.26885124059336 3.65748019096543 0.743625046076759 2.54336773868565
6.28978001971594 3.49968244660109 1.48477619387959 3.73500129252531 0.713255761464357 1.92092854147054
3.0631044148974 1.75598241260682 2.74691026350826 4.02867570171448 0.572916649626081 2.2264509905239
6.23537703722103 1.79157139255055 2.86512163723742 3.56795508420125 0.698965542148478 2.04876612481021
3.03931482286439 3.4859681158658 2.42771893316635 3.89828747153644 1.03316239496692 1.46130180499122
6.22084149303476 3.62556342962966 2.7953042749722 3.58458794853853 0.844037516623436 1.6666889756892
3.33604139923996 1.72094354138537 1.7626604222189 6.35960756440251 0.36395762490343 2.55132300038365
6.86041306835659 1.78891227126642 1.85006000375457 6.27688125736154 0.401700723031774 2.14062085367721
3.73494642616731 3.05230340780393 1.98538635673319 5.71163404253019 0.383695498225537 1.97510092445845
6.87165851657046 3.34203018161278 1.77684767663872 7.31488944039217 0.756555526334361 1.32779046325756
3.17631663237134 1.69964920524815 2.93026914681359 6.80402684757263 0.284413100153047 3.11118935597357
6.57265023891617 1.70313935203534 3.22788839732776 7.14336668156119 0.848713240324143 1.30967161046176
3.13499954355643 3.66828570558827 3.24841243700422 7.61120205986617 0.855307303894799 1.76901614540898
5.95217057415011 3.8216612011541 3.10410906882544 7.20311933363205 0.3581489377662 3.10330564385836
3.60027311295229 1.53144335360568 1.80106155625993 3.07657340854869 1.05096123994538 1.93256631765749
6.72779765007929 1.60349694551541 1.78331980219739 3.40056058422897 1.04700552584165 2.43241910131337
3.62306521103702 3.31034193587855 1.78446116068174 3.22003511838786 1.36763337097613 1.11586738643385
7.59928411251469 3.27443343958415 1.99507232151494 2.93847783721092 1.0601060110798 1.34931979713995
3.47377289567229 1.52344303927341 3.43923876501242 3.23860645982017 1.24251337914157 3.49805043487339
6.41784197574939 1.63811436180124 3.11730260204105 3.2793309480589 1.46009388814425 4.43266874554986
3.28945217054949 3.44892731020252 3.71362074351445 3.32323162616729 1.23348752412387 2.94219277350224
6.97859769232212 2.92676197467795 3.81403250399212 3.11786519075832 1.2269717306414 2.50097395233623
3.26552856151965 1.77920390829343 1.61964249045969 7.47439146796557 1.54384064348394 1.48507238356426
6.59446592783897 1.65110346169484 1.53921661797415 6.80768710040911 1.33571372651295 1.79597360297675
3.72022809230223 3.01022618001301 2.26849979082502 5.62577208848238 0.617223120449114 2.81816698069524
6.55463780794128 3.36288936454116 1.43375516058092 7.20983597914104 1.64446749717157 1.26587548307805
3.40324690016475 1.79413952104633 3.69440286213982 6.51476966170264 1.55191273511943 2.60447147145443
6.46162234176526 1.79193131462304 3.26270635682999 6.66404791194958 1.4824071279073 1.99972198851635
3.67532143810181 3.2223745786853 4.0171861533589 5.73974971435498 0.844989475340976 2.38039843931085
6.78684433962528 3.1943957914208 3.71000844621057 6.27818851561307 0.814206900206366 3.16983291538685
3.23577220646467 1.71096791000112 1.33293502121346 3.55545798236172 0.76636878270301 3.34897307438706
6.8868282747021 1.57153950648473 1.65194476342117 3.27991827951959 0.848039481533677 2.56259625837458
3.65083564471399 3.22615058995702 1.88826660329495 3.16200248018755 0.800529075864845 1.9598123127154
6.40003986269613 3.26756972442397 1.5324075048387 3.46771380117416 0.846126254280355 3.31482362942753
3.35303269173002 1.5279546742281 3.12843956741414 3.37221030428793 1.04509451293604 2.53660933562509
6.49876016894448 1.68690135645572 3.02100807577239 3.46322844943996 0.886925818462215 2.38931071310241
3.45319538204454 3.01128323246225 3.23142463731569 3.28723085555984 1.0403937570959 2.25424876874068
5.88597520649513 3.63633409859747 2.65424105963264 3.83645234751036 1.29128619041554 2.45796533041511
3.52285873512414 1.49140910593835 1.71424399645221 6.22373047653798 0.932797843534167 2.7925872254597
6.9670516161619 1.58317232653353 1.68339156953765 6.96910198705905 1.09129176660734 1.98782409910016
3.67129074958282 2.92211942979398 1.85599037430306 6.46288620632024 0.49148901973207 3.21826460474352
8.09046531099944 3.17096392818374 2.19498181448547 5.39089880356906 0.295048647844052 3.45393614373273
2.97678065083587 1.71447950236375 2.56708430505751 8.12943827186326 1.40050948872008 1.53112189558452
6.60201563698352 1.77452219452623 3.22976298450037 7.07992752333471 1.0205179720246 2.15850549338565
