"theta" "m12" "m21" "q" "s2" "tau"
3.24071514793385 1.68297597430049 1.59508129302477 3.33964010314222 0.564745166038684 2.3878032219809
6.67725722317071 1.66733698343252 1.80299047328456 3.3339531105431 0.538976382485915 1.96533843413069
2.87310565552851 3.73198841470774 1.05744904924465 3.92849451327659 0.917963998831337 2.43518780161163
6.60247910691151 3.39077762081111 1.695232703413 3.50265361041538 0.580765903957981 1.94134027057859
3.16731069797452 1.70837765944573 2.91507701076878 3.94797550562021 0.816294793671921 1.52995191561748
6.29659028984392 1.77511319103513 2.86632856366098 3.54071386714742 0.745506366544317 1.84799400578251
3.00382067083415 3.43930661757257 2.54971536071085 3.8040752459751 0.858434857236661 2.04477434788519
6.20202645998754 3.72091086266741 2.67676129176349 3.71843434791525 0.996251142001592 1.27772381069938
3.3595332624482 1.73565568159082 1.78786272854456 6.29950957245753 0.402022144645375 2.42271580464567
6.83381287632628 1.82086986357607 1.7796765188834 6.51307236540084 0.649504585715757 1.62969766688893
3.63129989554859 3.11690558178199 1.8789915801586 5.94658139067939 0.463442799927644 1.91417514714545
6.95298296586072 3.33271006829498 1.82134945755536 7.19399187478792 0.721448298726047 1.33639317319412
3.13542165966 1.73496121657207 2.78397094225837 7.44059395367582 0.94789798818205 1.48631894963746
6.72400083780476 1.67249641342828 3.36167872073016 6.83072840454727 0.764241322838439 1.39010012334924
3.20458473037296 3.64095107480237 3.418881962575 7.35674900977729 0.711956924777947 1.94918025538815
6.43074276200955 3.72545964212852 3.38434615496038 6.67895654384073 0.445118033697759 2.37013785741627
3.6615767951749 1.53450940936632 1.81993616361776 3.05581294162166 1.03608785708756 1.74709709669706
6.54245238648043 1.61090986410797 1.64776500437615 3.59577412954605 1.26199451776668 1.98815592927447
3.55680087865268 3.37960485102965 1.68572277860671 3.34439685508151 1.44201617726926 1.0550799298161
7.31108637898315 3.35990055688041 1.80920039361669 3.08636867729105 1.1392193763515 1.42958630949375
3.49711396710176 1.51738709759516 3.47960158877479 3.27166317080812 1.32775505057549 2.03542623444554
6.46889238964614 1.63593584828885 3.06032861157845 3.41018569737914 1.44308121016714 1.78736079406688
3.53229414239901 3.38176338173726 4.03309305915956 3.09580160151582 1.3032311589707 1.73184303166522
7.40534077531515 2.87857348873664 4.08652497645321 2.97492092666559 1.1993789766764 1.66842669577207
3.35544951106431 1.7482212542368 1.75780893331911 6.90046811833897 1.28768170861127 1.86798395719202
6.61369536775113 1.64367976483865 1.59520868344038 6.64096861559608 1.2348273587785 2.00612274220436
3.56305782304955 3.10278043971952 2.07797102151492 6.02374594700494 1.00382410131283 2.17685646490135
6.4812607245938 3.38246332739132 1.41048255399019 7.30290135329274 1.67333932155915 1.27785878338709
3.40752441835961 1.75216872321115 3.71123576247893 6.22748816524288 1.85303461650407 3.34522580504182
6.15518676216783 1.84494891142477 3.14597827284364 6.67165979671405 1.27832989628478 4.14104184037963
3.60560959699571 3.29219277012506 3.83635442958921 6.03577927294824 1.13816647026597 1.71148656246175
6.61327284495554 3.22725623262934 3.5693195073346 6.56197040216714 1.16453797142842 2.46642170597951
