"theta" "m12" "m21" "q" "s2" "tau"
3.24140137318626 1.7218738638245 1.3264401727569 3.58339990319054 1.13816885165647 2.34373923903567
6.96671143184619 1.56109848570795 1.69326144067532 3.25367336173082 0.939579042738767 2.24429380840504
3.73242009359348 3.19330436530019 1.97823776967882 3.11205713578429 0.855293835560665 1.65326241284571
6.34702647858787 3.2591096899169 1.52551584825528 3.50927748268577 0.935051279428147 3.10713779294473
3.4025154734144 1.50504175016859 3.22035379430406 3.32391187243361 1.13037578795138 2.06278621792403
6.70705351915645 1.6398884159051 2.99132620311235 3.60498951613296 1.09220415762103 1.09632384956728
3.40389565211306 3.04390210099932 3.1390068878935 3.36931940130077 1.15948282379851 1.99068752377363
5.89228913847627 3.65610819981236 2.55842959868474 3.9529047824982 1.5707623066378 1.5897987413438
3.58565417519972 1.49105545692669 1.69135117697933 6.40953665285 1.31553023692581 1.77740916090665
7.08321365817852 1.56353670864805 1.72511487069621 6.79978702277984 0.961252171065182 2.11312616765452
3.58166379392259 2.96443597945096 1.75348887105477 6.67819258874723 0.76306236866228 2.68418673705986
7.71478630534733 3.23829936471041 1.99675222882356 5.77628958728683 0.670168769981956 2.53413405539378
2.75893530303405 1.78486086781731 2.50392539643787 8.13542043659071 1.18382379543918 3.09893633233689
6.43430404507398 1.81999458235924 3.1459835104706 7.25602275290135 0.827179248404856 2.7597494193732
3.37344309662162 3.49527472082726 3.45130332865509 6.95728063257658 0.539210464128769 3.39126476451105
6.17598915264943 3.41298205879881 2.8679699742265 7.57666540954366 1.41179418068932 1.99635230545111
3.37517240259419 1.6016936911994 1.7183350639134 3.72633781599556 1.96269382233344 1.08995307144647
6.62809511247865 1.82377314857868 1.63376039294221 3.50601326596793 1.74271985289149 2.08145845358557
3.27486145381402 3.54851272181886 1.35505647950489 3.3980023179869 1.74357438525629 2.75763873645869
6.44522051004947 3.59347876388684 1.31429526706817 3.7023634039541 1.96871454124329 1.48176076508637
3.58836671923417 1.60788282264939 3.58865873718495 3.37483460066853 1.11321697453666 2.28714916086102
7.1262780520057 1.62648747395165 3.37002047167716 3.3233939039777 1.38370266268638 0.886049871591133
3.33058956783384 3.47906687259306 2.82931248234863 3.87947432121857 1.85080641443988 0.784675567864495
7.45772305995748 3.32548227815072 3.82543433540443 3.0274455559404 1.2915509311756 1.89677074069739
3.41931196777441 1.75649677128787 1.56513837079439 6.95937681899353 1.64082110123896 2.39737052815924
7.20358920500493 1.65507174549799 1.91546458286243 6.29492319659464 1.39819636004073 2.75194799225669
3.26854296866452 3.51980314259112 1.66183827053603 7.06345828387332 1.60532566983264 3.29298597907977
7.10480702353285 3.14786041970948 1.88777404465836 6.2672642278321 0.920523452020311 3.92467172806897
3.38365813172845 1.66726711044115 3.49020854028557 6.62785331504842 1.76427995456675 3.82012760039884
6.79870722619772 1.7411104879149 3.48312763563618 6.70936766421496 1.25669208538719 2.98605832354725
3.53230191921426 3.66169551663539 2.88750814867248 6.15952198436248 1.77784658700026 1.43049219112639
7.59504183993225 3.12575923058903 3.87123563622919 5.87516225036558 1.27602255345102 2.63886457588054
