"tau" "theta" "m"
1.21318250135529 3.07189979333534 0.523754791038203
2.20528314300749 3.22591523676755 0.558628832301913
3.27835165671469 3.35049652694588 0.602368093571656
1.21182307542511 5.61655311366939 0.642081912188734
2.85261579631659 5.253898057761 0.478823694101367
3.20588570714762 5.65979010480409 0.543000824274647
1.1886955207574 7.96052095229634 0.613471226964004
2.28079092613487 7.60136529085034 0.666003693635364
3.56009463827932 7.80191520191546 0.529091099715361
1.33106881278863 3.13342561498517 1.05575087796515
2.82905252747136 3.28647117137979 1.01605501461682
4.79830285341344 3.18850050979708 0.949785542367549
1.35575556501048 5.35722992062575 1.00930418202726
2.58980464513546 5.51769988706301 1.02882520432187
4.8550171901693 5.29803146997891 1.23940226970111
1.20668611237925 7.94861798934033 1.08660611616042
2.98629024902868 7.7248233951398 1.06949449038045
2.75691725604786 7.98511513052961 1.00508461550159
1.52562576388174 3.18828909784786 1.49304835200323
3.07884805101984 3.06071346481968 1.38330577449327
2.60747434407904 3.16845492701382 1.36082947928454
1.50641057584556 5.43608389553074 1.40771986758596
2.5997289871511 5.36751999930067 1.63271077500913
2.74422971055173 5.98005372872965 1.37110383915345
1.53048330189896 7.37846260786757 1.40404025474067
2.17597895909821 7.94365693979443 1.61495060370743
3.99876901045655 7.5616093185507 1.68215276061434
1.52829598552584 3.09195017583587 0.620180216357922
1.97541226123534 3.4368374794834 0.461548239234386
3.33724733653241 3.23209662734972 0.666894169628499
1.35668148094206 5.30166029383369 0.563592784292165
2.50365156971557 5.54488294648254 0.528120459358657
2.16363731586604 5.57405980089349 0.523901012515997
1.10173577475226 7.82060050464016 0.575576808028787
3.8795802864631 7.1765603002244 0.548211521640139
4.21063065281418 7.68840008273337 0.558972145811162
1.14978993096488 3.19064031799766 0.950360573539125
2.04092230620389 3.21975736072461 0.882770679609772
2.21883190090671 3.36615890584974 0.929541430887397
1.46325332440164 5.36441359830289 1.00115001751188
3.01884016087398 5.31864895546247 0.971122562915929
3.2404693574633 5.67243922785319 1.0045693160926
1.14488845635071 7.73096888731111 0.951264614796968
2.47468958876364 7.80611242855068 0.978580344725296
2.80859409909755 8.02346132120741 1.06465717188347
1.83940955411404 3.22660790068576 1.50310311520955
3.64607626867478 3.03091823060809 1.52422233395771
3.9444999657009 3.22261233556648 1.49903347063771
1.11322145456624 5.53646170069647 1.50039673549813
3.27586379879668 5.14426587959897 1.40006287798704
3.54654095084713 5.41641092931555 1.47897823461196
1.25958849596216 8.00576013372579 1.52030062313673
2.9810182723381 7.87449497926479 1.59859551761717
3.60073522543442 7.74728351103483 1.58850621759973
1.25980392608292 3.15327496192985 0.571965917623358
2.7816786270196 3.12055022660457 0.484214453920955
3.82295214252469 3.27979383802902 0.619114702018065
1.15904420301201 5.71506171205518 0.668405227650046
2.86637478719756 5.42762134782178 0.61477989197582
4.74239526141428 5.54965440207398 0.613046375843248
1.51914796772475 7.58227909180443 0.589250129577168
2.72621025020703 7.8190731812833 0.598371075810154
3.56920301363579 7.87228964935155 0.613460799031416
1.49771248915334 3.0047789412421 0.870059147798959
1.94319094404129 3.39879327716587 1.28259120065298
3.90755216389946 3.16290759915448 0.971766981009861
1.1023206194572 5.63192613287321 1.07211335993137
2.35153288937047 5.58428907061594 0.951061963501695
2.79873963809973 5.3012428366664 0.898929017876873
1.27302829406489 7.8596397351717 1.02881724333373
2.63999961312535 7.71178419199059 1.1058033413782
3.27817397234138 7.68386004707255 1.13624691810316
1.45607295346582 3.08968539015706 1.47443826906188
2.73880666972169 3.14034362673302 1.56967279556971
2.73587054750843 3.56569312675687 1.65607780143611
1.31209083288339 5.68124831552011 1.64069784554961
2.00701690577583 5.39490312267248 1.68501991464407
3.29913535843258 5.44539023756949 1.54503039022512
1.17374127385328 8.03618081519774 1.47170474486694
2.98521199796298 7.7634941726375 1.71963059308038
3.64368070597049 7.89240717136855 1.30859659219873
1.28792723027405 3.24964335654326 0.519135458489476
3.68109815900297 3.18588032028479 0.607543847156096
3.42937169706106 3.31468081438068 0.542729238357554
1.23479622862178 5.83252947171057 0.577129311714542
1.93930802648853 5.87568767030236 0.627797440527993
3.8806549873637 5.52876178370653 0.598471515914118
0.994278546468322 8.00201514448347 0.656203802899035
2.86288564527477 7.60160755543786 0.554467327519031
4.69550588472396 7.77124361018555 0.504410907622824
1.36696700734986 3.22340966982957 0.924055822382845
2.6389111258113 3.1988823832472 1.16252734802616
3.65536347331045 3.11845225038051 0.924666225158159
1.38605938506755 5.39896078310761 0.936444230772142
3.41852214044866 5.59467893152735 1.23841221533858
4.09045470263915 5.38529632598077 0.910088411813615
1.38102695712873 7.35182237735479 1.02692687490304
1.92319746411216 7.88290844802963 0.967655260608026
4.9061316769306 7.85748364147525 1.12381564123346
0.812323426599312 3.44197289995887 1.58864682596855
2.19831622402179 3.27585203824691 1.40491271045016
4.66838498189432 3.35646167322236 1.29896720815561
1.10655338687457 5.54108180753617 1.28044839884667
1.76746911918066 5.65109295908636 1.63582578562677
3.26562402904768 5.41573618302236 1.14877082324761
1.25661031698395 7.87993950670159 1.49970856807405
2.48132027987229 7.80900946163597 1.70290349286493
4.89135573126594 7.77799810775565 1.78561946015947
